"164348 - RawData-003 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.047
201.00	3.057
202.00	3.059
203.00	3.036
204.00	2.978
205.00	2.802
206.00	2.586
207.00	2.323
208.00	2.038
209.00	1.757
210.00	1.526
211.00	1.316
212.00	1.138
213.00	0.994
214.00	0.880
215.00	0.792
216.00	0.725
217.00	0.675
218.00	0.641
219.00	0.618
220.00	0.604
221.00	0.596
222.00	0.592
223.00	0.592
224.00	0.593
225.00	0.595
226.00	0.597
227.00	0.598
228.00	0.598
229.00	0.597
230.00	0.594
231.00	0.591
232.00	0.585
233.00	0.578
234.00	0.569
235.00	0.559
236.00	0.547
237.00	0.535
238.00	0.522
239.00	0.508
240.00	0.494
241.00	0.480
242.00	0.466
243.00	0.452
244.00	0.438
245.00	0.424
246.00	0.409
247.00	0.394
248.00	0.380
249.00	0.366
250.00	0.352
251.00	0.340
252.00	0.329
253.00	0.319
254.00	0.310
255.00	0.303
256.00	0.297
257.00	0.291
258.00	0.287
259.00	0.282
260.00	0.278
261.00	0.274
262.00	0.269
263.00	0.264
264.00	0.258
265.00	0.252
266.00	0.246
267.00	0.238
268.00	0.231
269.00	0.222
270.00	0.214
271.00	0.207
272.00	0.199
273.00	0.192
274.00	0.186
275.00	0.180
276.00	0.175
277.00	0.170
278.00	0.167
279.00	0.164
280.00	0.162
281.00	0.160
282.00	0.159
283.00	0.159
284.00	0.159
285.00	0.160
286.00	0.161
287.00	0.162
288.00	0.163
289.00	0.165
290.00	0.167
291.00	0.169
292.00	0.171
293.00	0.172
294.00	0.173
295.00	0.173
296.00	0.173
297.00	0.172
298.00	0.171
299.00	0.171
300.00	0.171
301.00	0.171
302.00	0.171
303.00	0.171
304.00	0.170
305.00	0.168
306.00	0.168
307.00	0.166
308.00	0.164
309.00	0.163
310.00	0.163
311.00	0.163
312.00	0.163
313.00	0.164
314.00	0.166
315.00	0.168
316.00	0.170
317.00	0.173
318.00	0.176
319.00	0.179
320.00	0.182
321.00	0.186
322.00	0.190
323.00	0.194
324.00	0.199
325.00	0.204
326.00	0.209
327.00	0.215
328.00	0.221
329.00	0.228
330.00	0.235
331.00	0.243
332.00	0.251
333.00	0.260
334.00	0.269
335.00	0.278
336.00	0.288
337.00	0.298
338.00	0.310
339.00	0.322
340.00	0.334
341.00	0.355
342.00	0.373
343.00	0.387
344.00	0.402
345.00	0.417
346.00	0.432
347.00	0.448
348.00	0.464
349.00	0.482
350.00	0.502
351.00	0.528
352.00	0.542
353.00	0.553
354.00	0.574
355.00	0.593
356.00	0.614
357.00	0.635
358.00	0.657
359.00	0.679
360.00	0.699
361.00	0.722
362.00	0.746
363.00	0.770
364.00	0.794
365.00	0.820
366.00	0.846
367.00	0.871
368.00	0.896
369.00	0.922
370.00	0.948
371.00	0.974
372.00	0.999
373.00	1.025
374.00	1.048
375.00	1.074
376.00	1.097
377.00	1.120
378.00	1.144
379.00	1.168
380.00	1.191
381.00	1.214
382.00	1.235
383.00	1.255
384.00	1.276
385.00	1.297
386.00	1.317
387.00	1.336
388.00	1.351
389.00	1.367
390.00	1.380
391.00	1.393
392.00	1.405
393.00	1.415
394.00	1.423
395.00	1.431
396.00	1.438
397.00	1.441
398.00	1.443
399.00	1.446
400.00	1.445
401.00	1.444
402.00	1.441
403.00	1.436
404.00	1.429
405.00	1.421
406.00	1.410
407.00	1.397
408.00	1.384
409.00	1.368
410.00	1.350
411.00	1.330
412.00	1.308
413.00	1.284
414.00	1.259
415.00	1.232
416.00	1.207
417.00	1.177
418.00	1.143
419.00	1.114
420.00	1.084
421.00	1.053
422.00	1.019
423.00	0.988
424.00	0.955
425.00	0.923
426.00	0.891
427.00	0.860
428.00	0.828
429.00	0.796
430.00	0.765
431.00	0.734
432.00	0.702
433.00	0.671
434.00	0.641
435.00	0.610
436.00	0.581
437.00	0.553
438.00	0.525
439.00	0.497
440.00	0.471
441.00	0.445
442.00	0.420
443.00	0.396
444.00	0.373
445.00	0.351
446.00	0.330
447.00	0.311
448.00	0.292
449.00	0.273
450.00	0.256
451.00	0.240
452.00	0.225
453.00	0.211
454.00	0.197
455.00	0.185
456.00	0.173
457.00	0.161
458.00	0.151
459.00	0.141
460.00	0.131
461.00	0.123
462.00	0.115
463.00	0.107
464.00	0.100
465.00	0.093
466.00	0.088
467.00	0.082
468.00	0.077
469.00	0.073
470.00	0.068
471.00	0.065
472.00	0.062
473.00	0.062
474.00	0.059
475.00	0.053
476.00	0.051
477.00	0.049
478.00	0.048
479.00	0.046
480.00	0.045
481.00	0.044
482.00	0.043
483.00	0.042
484.00	0.042
485.00	0.041
486.00	0.041
487.00	0.041
488.00	0.040
489.00	0.040
490.00	0.040
491.00	0.040
492.00	0.040
493.00	0.040
494.00	0.039
495.00	0.039
496.00	0.039
497.00	0.039
498.00	0.039
499.00	0.039
500.00	0.039
501.00	0.039
502.00	0.039
503.00	0.038
504.00	0.038
505.00	0.038
506.00	0.038
507.00	0.037
508.00	0.037
509.00	0.037
510.00	0.038
511.00	0.051
512.00	0.057
513.00	0.038
514.00	0.036
515.00	0.036
516.00	0.035
517.00	0.035
518.00	0.035
519.00	0.035
520.00	0.035
521.00	0.034
522.00	0.034
523.00	0.034
524.00	0.034
525.00	0.034
526.00	0.033
527.00	0.033
528.00	0.033
529.00	0.033
530.00	0.033
531.00	0.032
532.00	0.032
533.00	0.032
534.00	0.032
535.00	0.032
536.00	0.032
537.00	0.032
538.00	0.031
539.00	0.031
540.00	0.031
541.00	0.031
542.00	0.031
543.00	0.031
544.00	0.031
545.00	0.031
546.00	0.031
547.00	0.030
548.00	0.030
549.00	0.030
550.00	0.030
551.00	0.030
552.00	0.030
553.00	0.030
554.00	0.030
555.00	0.030
556.00	0.030
557.00	0.029
558.00	0.029
559.00	0.030
560.00	0.030
561.00	0.030
562.00	0.029
563.00	0.029
564.00	0.029
565.00	0.029
566.00	0.029
567.00	0.029
568.00	0.029
569.00	0.029
570.00	0.029
571.00	0.029
572.00	0.029
573.00	0.029
574.00	0.029
575.00	0.029
576.00	0.029
577.00	0.029
578.00	0.029
579.00	0.029
580.00	0.029
581.00	0.029
582.00	0.029
583.00	0.029
584.00	0.029
585.00	0.029
586.00	0.029
587.00	0.029
588.00	0.029
589.00	0.029
590.00	0.029
591.00	0.029
592.00	0.029
593.00	0.029
594.00	0.029
595.00	0.029
596.00	0.029
597.00	0.029
598.00	0.029
599.00	0.029
600.00	0.029
