"164348 - RawData-005 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.045
201.00	2.998
202.00	3.005
203.00	3.020
204.00	2.983
205.00	2.805
206.00	2.566
207.00	2.287
208.00	1.992
209.00	1.703
210.00	1.467
211.00	1.253
212.00	1.076
213.00	0.934
214.00	0.825
215.00	0.738
216.00	0.673
217.00	0.626
218.00	0.595
219.00	0.580
220.00	0.572
221.00	0.568
222.00	0.567
223.00	0.567
224.00	0.569
225.00	0.572
226.00	0.577
227.00	0.581
228.00	0.584
229.00	0.586
230.00	0.586
231.00	0.585
232.00	0.581
233.00	0.575
234.00	0.567
235.00	0.557
236.00	0.544
237.00	0.530
238.00	0.514
239.00	0.498
240.00	0.480
241.00	0.463
242.00	0.445
243.00	0.426
244.00	0.409
245.00	0.391
246.00	0.373
247.00	0.356
248.00	0.340
249.00	0.324
250.00	0.309
251.00	0.296
252.00	0.284
253.00	0.273
254.00	0.264
255.00	0.256
256.00	0.249
257.00	0.243
258.00	0.238
259.00	0.233
260.00	0.229
261.00	0.225
262.00	0.220
263.00	0.216
264.00	0.211
265.00	0.207
266.00	0.202
267.00	0.197
268.00	0.191
269.00	0.186
270.00	0.180
271.00	0.175
272.00	0.170
273.00	0.166
274.00	0.162
275.00	0.159
276.00	0.156
277.00	0.154
278.00	0.153
279.00	0.152
280.00	0.153
281.00	0.153
282.00	0.154
283.00	0.156
284.00	0.159
285.00	0.161
286.00	0.164
287.00	0.167
288.00	0.171
289.00	0.175
290.00	0.180
291.00	0.184
292.00	0.187
293.00	0.188
294.00	0.190
295.00	0.191
296.00	0.191
297.00	0.192
298.00	0.191
299.00	0.191
300.00	0.191
301.00	0.190
302.00	0.190
303.00	0.189
304.00	0.187
305.00	0.185
306.00	0.183
307.00	0.180
308.00	0.177
309.00	0.174
310.00	0.171
311.00	0.169
312.00	0.167
313.00	0.166
314.00	0.164
315.00	0.163
316.00	0.162
317.00	0.161
318.00	0.161
319.00	0.160
320.00	0.160
321.00	0.160
322.00	0.161
323.00	0.162
324.00	0.163
325.00	0.165
326.00	0.168
327.00	0.170
328.00	0.174
329.00	0.177
330.00	0.181
331.00	0.186
332.00	0.191
333.00	0.196
334.00	0.202
335.00	0.209
336.00	0.215
337.00	0.223
338.00	0.231
339.00	0.239
340.00	0.247
341.00	0.264
342.00	0.277
343.00	0.287
344.00	0.297
345.00	0.308
346.00	0.319
347.00	0.331
348.00	0.343
349.00	0.356
350.00	0.369
351.00	0.382
352.00	0.395
353.00	0.409
354.00	0.423
355.00	0.438
356.00	0.453
357.00	0.469
358.00	0.485
359.00	0.500
360.00	0.516
361.00	0.532
362.00	0.550
363.00	0.568
364.00	0.585
365.00	0.606
366.00	0.627
367.00	0.645
368.00	0.665
369.00	0.683
370.00	0.703
371.00	0.723
372.00	0.741
373.00	0.761
374.00	0.779
375.00	0.797
376.00	0.815
377.00	0.832
378.00	0.849
379.00	0.868
380.00	0.885
381.00	0.902
382.00	0.919
383.00	0.936
384.00	0.951
385.00	0.966
386.00	0.981
387.00	0.994
388.00	1.006
389.00	1.017
390.00	1.027
391.00	1.036
392.00	1.044
393.00	1.050
394.00	1.056
395.00	1.061
396.00	1.065
397.00	1.068
398.00	1.069
399.00	1.070
400.00	1.069
401.00	1.068
402.00	1.065
403.00	1.061
404.00	1.055
405.00	1.048
406.00	1.040
407.00	1.030
408.00	1.019
409.00	1.007
410.00	0.993
411.00	0.978
412.00	0.961
413.00	0.944
414.00	0.925
415.00	0.905
416.00	0.885
417.00	0.862
418.00	0.840
419.00	0.818
420.00	0.796
421.00	0.773
422.00	0.749
423.00	0.725
424.00	0.701
425.00	0.677
426.00	0.654
427.00	0.631
428.00	0.608
429.00	0.584
430.00	0.562
431.00	0.540
432.00	0.516
433.00	0.494
434.00	0.472
435.00	0.450
436.00	0.428
437.00	0.408
438.00	0.388
439.00	0.368
440.00	0.349
441.00	0.330
442.00	0.312
443.00	0.295
444.00	0.278
445.00	0.262
446.00	0.247
447.00	0.233
448.00	0.219
449.00	0.205
450.00	0.193
451.00	0.182
452.00	0.171
453.00	0.160
454.00	0.150
455.00	0.141
456.00	0.132
457.00	0.124
458.00	0.117
459.00	0.109
460.00	0.102
461.00	0.096
462.00	0.090
463.00	0.084
464.00	0.079
465.00	0.075
466.00	0.070
467.00	0.066
468.00	0.063
469.00	0.060
470.00	0.057
471.00	0.054
