"164348 - RawData-002 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	2.998
201.00	3.073
202.00	3.086
203.00	3.029
204.00	2.977
205.00	2.860
206.00	2.648
207.00	2.376
208.00	2.092
209.00	1.812
210.00	1.580
211.00	1.365
212.00	1.184
213.00	1.037
214.00	0.921
215.00	0.828
216.00	0.758
217.00	0.707
218.00	0.671
219.00	0.648
220.00	0.633
221.00	0.624
222.00	0.621
223.00	0.620
224.00	0.620
225.00	0.621
226.00	0.622
227.00	0.622
228.00	0.621
229.00	0.620
230.00	0.617
231.00	0.612
232.00	0.606
233.00	0.598
234.00	0.589
235.00	0.577
236.00	0.565
237.00	0.552
238.00	0.538
239.00	0.524
240.00	0.510
241.00	0.496
242.00	0.482
243.00	0.467
244.00	0.453
245.00	0.439
246.00	0.424
247.00	0.409
248.00	0.394
249.00	0.379
250.00	0.364
251.00	0.352
252.00	0.340
253.00	0.329
254.00	0.320
255.00	0.313
256.00	0.306
257.00	0.301
258.00	0.295
259.00	0.291
260.00	0.286
261.00	0.281
262.00	0.276
263.00	0.270
264.00	0.264
265.00	0.258
266.00	0.251
267.00	0.243
268.00	0.234
269.00	0.225
270.00	0.216
271.00	0.208
272.00	0.199
273.00	0.191
274.00	0.184
275.00	0.177
276.00	0.171
277.00	0.166
278.00	0.162
279.00	0.158
280.00	0.155
281.00	0.153
282.00	0.151
283.00	0.150
284.00	0.149
285.00	0.149
286.00	0.150
287.00	0.150
288.00	0.152
289.00	0.153
290.00	0.155
291.00	0.156
292.00	0.157
293.00	0.158
294.00	0.158
295.00	0.158
296.00	0.158
297.00	0.157
298.00	0.156
299.00	0.156
300.00	0.156
301.00	0.156
302.00	0.156
303.00	0.156
304.00	0.155
305.00	0.155
306.00	0.154
307.00	0.152
308.00	0.151
309.00	0.150
310.00	0.150
311.00	0.150
312.00	0.151
313.00	0.153
314.00	0.156
315.00	0.159
316.00	0.162
317.00	0.166
318.00	0.170
319.00	0.174
320.00	0.179
321.00	0.184
322.00	0.190
323.00	0.196
324.00	0.202
325.00	0.208
326.00	0.215
327.00	0.222
328.00	0.230
329.00	0.238
330.00	0.247
331.00	0.256
332.00	0.266
333.00	0.276
334.00	0.286
335.00	0.297
336.00	0.308
337.00	0.320
338.00	0.333
339.00	0.346
340.00	0.360
341.00	0.383
342.00	0.402
343.00	0.418
344.00	0.434
345.00	0.451
346.00	0.469
347.00	0.487
348.00	0.506
349.00	0.526
350.00	0.546
351.00	0.565
352.00	0.585
353.00	0.607
354.00	0.630
355.00	0.651
356.00	0.675
357.00	0.699
358.00	0.723
359.00	0.746
360.00	0.770
361.00	0.795
362.00	0.822
363.00	0.850
364.00	0.876
365.00	0.902
366.00	0.930
367.00	0.957
368.00	0.986
369.00	1.016
370.00	1.043
371.00	1.073
372.00	1.101
373.00	1.130
374.00	1.157
375.00	1.184
376.00	1.209
377.00	1.236
378.00	1.260
379.00	1.288
380.00	1.315
381.00	1.339
382.00	1.363
383.00	1.387
384.00	1.411
385.00	1.431
386.00	1.452
387.00	1.471
388.00	1.491
389.00	1.506
390.00	1.520
391.00	1.534
392.00	1.545
393.00	1.555
394.00	1.562
395.00	1.571
396.00	1.577
397.00	1.580
398.00	1.581
399.00	1.583
400.00	1.582
401.00	1.578
402.00	1.575
403.00	1.570
404.00	1.561
405.00	1.551
406.00	1.540
407.00	1.525
408.00	1.509
409.00	1.491
410.00	1.471
411.00	1.450
412.00	1.426
413.00	1.400
414.00	1.372
415.00	1.343
416.00	1.313
417.00	1.280
418.00	1.248
419.00	1.216
420.00	1.184
421.00	1.149
422.00	1.113
423.00	1.077
424.00	1.041
425.00	1.006
426.00	0.971
427.00	0.937
428.00	0.902
429.00	0.866
430.00	0.832
431.00	0.798
432.00	0.763
433.00	0.729
434.00	0.696
435.00	0.662
436.00	0.630
437.00	0.600
438.00	0.569
439.00	0.538
440.00	0.508
441.00	0.480
442.00	0.453
443.00	0.426
444.00	0.401
445.00	0.376
446.00	0.353
447.00	0.331
448.00	0.310
449.00	0.289
450.00	0.270
451.00	0.253
452.00	0.236
453.00	0.220
454.00	0.205
455.00	0.191
456.00	0.177
457.00	0.164
458.00	0.153
459.00	0.141
460.00	0.131
461.00	0.121
462.00	0.112
463.00	0.104
464.00	0.096
465.00	0.089
466.00	0.082
467.00	0.076
468.00	0.071
469.00	0.066
470.00	0.061
471.00	0.057
472.00	0.053
473.00	0.050
474.00	0.047
475.00	0.045
476.00	0.042
477.00	0.041
478.00	0.039
479.00	0.037
480.00	0.036
481.00	0.035
482.00	0.034
483.00	0.033
484.00	0.033
485.00	0.032
486.00	0.032
487.00	0.031
488.00	0.031
489.00	0.031
490.00	0.030
491.00	0.030
492.00	0.030
493.00	0.030
494.00	0.030
495.00	0.030
496.00	0.030
497.00	0.029
498.00	0.029
499.00	0.029
500.00	0.029
501.00	0.029
502.00	0.029
503.00	0.029
504.00	0.029
505.00	0.029
506.00	0.029
507.00	0.028
508.00	0.028
509.00	0.028
510.00	0.028
511.00	0.028
512.00	0.028
513.00	0.027
514.00	0.027
515.00	0.027
516.00	0.027
517.00	0.027
518.00	0.026
519.00	0.026
520.00	0.026
521.00	0.026
522.00	0.026
523.00	0.025
524.00	0.025
525.00	0.025
526.00	0.025
527.00	0.025
528.00	0.024
529.00	0.024
530.00	0.024
531.00	0.024
532.00	0.024
533.00	0.024
534.00	0.023
535.00	0.023
536.00	0.023
537.00	0.023
538.00	0.023
539.00	0.023
540.00	0.023
541.00	0.022
542.00	0.022
543.00	0.022
544.00	0.022
545.00	0.022
546.00	0.022
547.00	0.021
548.00	0.021
549.00	0.021
550.00	0.021
551.00	0.021
552.00	0.021
553.00	0.021
554.00	0.021
555.00	0.020
556.00	0.020
557.00	0.020
558.00	0.020
559.00	0.020
560.00	0.020
561.00	0.020
562.00	0.020
563.00	0.020
564.00	0.020
565.00	0.020
566.00	0.020
567.00	0.020
568.00	0.020
569.00	0.020
570.00	0.020
571.00	0.020
572.00	0.020
573.00	0.020
574.00	0.020
575.00	0.020
576.00	0.020
577.00	0.021
578.00	0.021
579.00	0.021
580.00	0.021
581.00	0.021
582.00	0.021
583.00	0.021
584.00	0.021
585.00	0.021
586.00	0.021
587.00	0.021
588.00	0.021
589.00	0.021
590.00	0.021
591.00	0.021
592.00	0.021
593.00	0.021
594.00	0.021
595.00	0.021
596.00	0.021
597.00	0.021
598.00	0.021
599.00	0.020
600.00	0.020
