"164348 - RawData-012 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.001
201.00	2.958
202.00	2.992
203.00	3.003
204.00	2.959
205.00	2.866
206.00	2.644
207.00	2.335
208.00	2.007
209.00	1.691
210.00	1.438
211.00	1.210
212.00	1.022
213.00	0.872
214.00	0.760
215.00	0.676
216.00	0.617
217.00	0.577
218.00	0.553
219.00	0.541
220.00	0.539
221.00	0.545
222.00	0.556
223.00	0.570
224.00	0.587
225.00	0.604
226.00	0.620
227.00	0.635
228.00	0.649
229.00	0.661
230.00	0.669
231.00	0.674
232.00	0.674
233.00	0.670
234.00	0.662
235.00	0.649
236.00	0.632
237.00	0.610
238.00	0.584
239.00	0.555
240.00	0.524
241.00	0.492
242.00	0.458
243.00	0.424
244.00	0.392
245.00	0.360
246.00	0.329
247.00	0.301
248.00	0.276
249.00	0.252
250.00	0.230
251.00	0.212
252.00	0.195
253.00	0.179
254.00	0.164
255.00	0.152
256.00	0.140
257.00	0.130
258.00	0.121
259.00	0.114
260.00	0.107
261.00	0.102
262.00	0.097
263.00	0.093
264.00	0.090
265.00	0.087
266.00	0.086
267.00	0.085
268.00	0.085
269.00	0.086
270.00	0.087
271.00	0.088
272.00	0.091
273.00	0.094
274.00	0.097
275.00	0.101
276.00	0.105
277.00	0.110
278.00	0.115
279.00	0.120
280.00	0.126
281.00	0.132
282.00	0.139
283.00	0.145
284.00	0.152
285.00	0.158
286.00	0.166
287.00	0.172
288.00	0.179
289.00	0.185
290.00	0.191
291.00	0.197
292.00	0.202
293.00	0.206
294.00	0.210
295.00	0.213
296.00	0.215
297.00	0.216
298.00	0.216
299.00	0.216
300.00	0.214
301.00	0.212
302.00	0.209
303.00	0.205
304.00	0.200
305.00	0.194
306.00	0.189
307.00	0.182
308.00	0.174
309.00	0.167
310.00	0.159
311.00	0.150
312.00	0.142
313.00	0.133
314.00	0.124
315.00	0.116
316.00	0.109
317.00	0.101
318.00	0.095
319.00	0.088
320.00	0.083
321.00	0.078
322.00	0.073
323.00	0.069
324.00	0.064
325.00	0.061
326.00	0.057
327.00	0.054
328.00	0.051
329.00	0.048
330.00	0.046
331.00	0.043
332.00	0.041
333.00	0.039
334.00	0.037
335.00	0.035
336.00	0.034
337.00	0.032
