"154635 - RawData-008 - E:\UV Data\adv phy chem lab\batch A&B\Au np 4_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.820
201.00	2.684
202.00	2.412
203.00	2.091
204.00	1.793
205.00	1.510
206.00	1.267
207.00	1.081
208.00	0.931
209.00	0.813
210.00	0.730
211.00	0.664
212.00	0.616
213.00	0.583
214.00	0.561
215.00	0.547
216.00	0.540
217.00	0.540
218.00	0.544
219.00	0.552
220.00	0.563
221.00	0.576
222.00	0.590
223.00	0.605
224.00	0.620
225.00	0.634
226.00	0.648
227.00	0.660
228.00	0.671
229.00	0.680
230.00	0.686
231.00	0.690
232.00	0.690
233.00	0.687
234.00	0.682
235.00	0.672
236.00	0.659
237.00	0.644
238.00	0.626
239.00	0.605
240.00	0.583
241.00	0.561
242.00	0.536
243.00	0.511
244.00	0.488
245.00	0.465
246.00	0.443
247.00	0.423
248.00	0.405
249.00	0.387
250.00	0.371
251.00	0.358
252.00	0.346
253.00	0.334
254.00	0.324
255.00	0.315
256.00	0.307
257.00	0.300
258.00	0.295
259.00	0.289
260.00	0.285
261.00	0.281
262.00	0.278
263.00	0.275
264.00	0.273
265.00	0.271
266.00	0.269
267.00	0.268
268.00	0.268
269.00	0.267
270.00	0.267
271.00	0.268
272.00	0.269
273.00	0.270
274.00	0.272
275.00	0.274
276.00	0.276
277.00	0.279
278.00	0.283
279.00	0.286
280.00	0.291
281.00	0.296
282.00	0.301
283.00	0.307
284.00	0.313
285.00	0.319
286.00	0.326
287.00	0.332
288.00	0.338
289.00	0.345
290.00	0.351
291.00	0.357
292.00	0.363
293.00	0.369
294.00	0.374
295.00	0.378
296.00	0.381
297.00	0.383
298.00	0.385
299.00	0.386
300.00	0.386
301.00	0.386
302.00	0.385
303.00	0.383
304.00	0.381
305.00	0.378
306.00	0.374
307.00	0.369
308.00	0.365
309.00	0.359
310.00	0.354
311.00	0.348
312.00	0.341
313.00	0.333
314.00	0.325
315.00	0.317
316.00	0.309
317.00	0.299
318.00	0.291
319.00	0.281
320.00	0.272
321.00	0.263
322.00	0.254
323.00	0.247
324.00	0.239
325.00	0.232
326.00	0.226
327.00	0.220
328.00	0.216
329.00	0.211
330.00	0.207
331.00	0.204
332.00	0.201
333.00	0.198
334.00	0.196
335.00	0.194
336.00	0.193
337.00	0.191
338.00	0.191
339.00	0.190
340.00	0.190
341.00	0.180
342.00	0.175
343.00	0.175
344.00	0.176
345.00	0.176
346.00	0.177
347.00	0.177
348.00	0.178
349.00	0.179
350.00	0.180
351.00	0.181
352.00	0.183
353.00	0.184
354.00	0.185
355.00	0.186
356.00	0.188
357.00	0.189
358.00	0.191
359.00	0.192
360.00	0.193
361.00	0.195
362.00	0.197
363.00	0.199
364.00	0.200
365.00	0.204
366.00	0.206
367.00	0.208
368.00	0.210
369.00	0.212
370.00	0.213
371.00	0.216
372.00	0.217
373.00	0.219
374.00	0.221
375.00	0.223
376.00	0.225
377.00	0.226
378.00	0.228
379.00	0.230
380.00	0.231
381.00	0.233
382.00	0.235
383.00	0.236
384.00	0.238
385.00	0.239
386.00	0.241
387.00	0.242
388.00	0.244
389.00	0.245
390.00	0.246
391.00	0.247
392.00	0.248
393.00	0.248
394.00	0.249
395.00	0.250
396.00	0.250
397.00	0.251
398.00	0.251
399.00	0.251
400.00	0.251
401.00	0.251
402.00	0.251
403.00	0.251
404.00	0.250
405.00	0.250
406.00	0.249
407.00	0.248
408.00	0.247
409.00	0.246
410.00	0.245
411.00	0.243
412.00	0.242
413.00	0.240
414.00	0.238
415.00	0.236
416.00	0.234
417.00	0.232
418.00	0.230
419.00	0.228
420.00	0.225
421.00	0.223
422.00	0.221
423.00	0.218
424.00	0.216
425.00	0.213
426.00	0.211
427.00	0.209
428.00	0.206
429.00	0.204
430.00	0.202
431.00	0.199
432.00	0.197
433.00	0.194
434.00	0.192
435.00	0.190
436.00	0.188
437.00	0.185
438.00	0.183
439.00	0.181
440.00	0.179
441.00	0.177
442.00	0.175
443.00	0.173
444.00	0.171
445.00	0.169
446.00	0.167
447.00	0.166
448.00	0.164
449.00	0.163
450.00	0.162
451.00	0.160
452.00	0.159
453.00	0.158
454.00	0.157
455.00	0.156
456.00	0.155
457.00	0.154
458.00	0.153
459.00	0.152
460.00	0.151
461.00	0.150
462.00	0.149
463.00	0.149
464.00	0.148
465.00	0.147
466.00	0.147
467.00	0.147
468.00	0.146
469.00	0.146
470.00	0.146
471.00	0.146
472.00	0.146
473.00	0.146
474.00	0.145
475.00	0.145
476.00	0.145
477.00	0.145
478.00	0.145
479.00	0.145
480.00	0.144
481.00	0.144
482.00	0.144
483.00	0.144
484.00	0.144
485.00	0.144
486.00	0.144
487.00	0.144
488.00	0.144
489.00	0.145
490.00	0.145
491.00	0.145
492.00	0.146
493.00	0.146
494.00	0.146
495.00	0.146
496.00	0.146
497.00	0.146
498.00	0.146
499.00	0.145
500.00	0.145
501.00	0.145
502.00	0.144
503.00	0.144
504.00	0.143
505.00	0.143
506.00	0.143
507.00	0.142
508.00	0.142
509.00	0.142
510.00	0.141
511.00	0.141
512.00	0.141
513.00	0.141
514.00	0.140
515.00	0.140
516.00	0.140
517.00	0.140
518.00	0.140
519.00	0.139
520.00	0.139
521.00	0.139
522.00	0.138
523.00	0.138
524.00	0.138
525.00	0.138
526.00	0.137
527.00	0.137
