"154635 - RawData-005 - E:\UV Data\adv phy chem lab\batch A&B\Au np 4_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.585
201.00	2.372
202.00	2.072
203.00	1.780
204.00	1.517
205.00	1.281
206.00	1.082
207.00	0.928
208.00	0.806
209.00	0.709
210.00	0.640
211.00	0.586
212.00	0.545
213.00	0.516
214.00	0.497
215.00	0.484
216.00	0.478
217.00	0.477
218.00	0.479
219.00	0.484
220.00	0.491
221.00	0.499
222.00	0.509
223.00	0.519
224.00	0.529
225.00	0.538
226.00	0.546
227.00	0.553
228.00	0.559
229.00	0.564
230.00	0.567
231.00	0.568
232.00	0.566
233.00	0.563
234.00	0.557
235.00	0.549
236.00	0.539
237.00	0.527
238.00	0.514
239.00	0.499
240.00	0.483
241.00	0.468
242.00	0.451
243.00	0.434
244.00	0.418
245.00	0.402
246.00	0.386
247.00	0.371
248.00	0.358
249.00	0.345
250.00	0.333
251.00	0.324
252.00	0.316
253.00	0.308
254.00	0.302
255.00	0.297
256.00	0.292
257.00	0.288
258.00	0.285
259.00	0.282
260.00	0.280
261.00	0.277
262.00	0.275
263.00	0.273
264.00	0.271
265.00	0.269
266.00	0.267
267.00	0.265
268.00	0.263
269.00	0.261
270.00	0.259
271.00	0.257
272.00	0.256
273.00	0.255
274.00	0.254
275.00	0.254
276.00	0.254
277.00	0.255
278.00	0.257
279.00	0.259
280.00	0.261
281.00	0.265
282.00	0.269
283.00	0.273
284.00	0.279
285.00	0.284
286.00	0.290
287.00	0.295
288.00	0.301
289.00	0.307
290.00	0.314
291.00	0.319
292.00	0.325
293.00	0.330
294.00	0.335
295.00	0.339
296.00	0.342
297.00	0.344
298.00	0.346
299.00	0.347
300.00	0.348
301.00	0.348
302.00	0.348
303.00	0.348
304.00	0.347
305.00	0.346
306.00	0.344
307.00	0.342
308.00	0.339
309.00	0.336
310.00	0.333
311.00	0.329
312.00	0.325
313.00	0.319
314.00	0.313
315.00	0.307
316.00	0.299
317.00	0.292
318.00	0.283
319.00	0.274
320.00	0.265
321.00	0.257
322.00	0.249
323.00	0.241
324.00	0.234
325.00	0.228
326.00	0.223
327.00	0.218
328.00	0.214
329.00	0.211
330.00	0.209
331.00	0.208
332.00	0.207
333.00	0.207
334.00	0.207
335.00	0.208
336.00	0.209
337.00	0.210
338.00	0.212
339.00	0.215
340.00	0.217
341.00	0.214
342.00	0.214
343.00	0.218
344.00	0.222
345.00	0.226
346.00	0.231
347.00	0.235
348.00	0.240
349.00	0.245
350.00	0.250
351.00	0.255
352.00	0.260
353.00	0.266
354.00	0.271
355.00	0.277
356.00	0.283
357.00	0.290
358.00	0.295
359.00	0.302
360.00	0.308
361.00	0.315
362.00	0.322
363.00	0.330
364.00	0.337
365.00	0.346
366.00	0.355
367.00	0.362
368.00	0.370
369.00	0.378
370.00	0.386
371.00	0.394
372.00	0.401
373.00	0.409
374.00	0.417
375.00	0.424
376.00	0.432
377.00	0.439
378.00	0.447
379.00	0.454
380.00	0.462
381.00	0.468
382.00	0.475
383.00	0.482
384.00	0.489
385.00	0.495
386.00	0.501
387.00	0.507
388.00	0.512
389.00	0.517
390.00	0.522
391.00	0.526
392.00	0.530
393.00	0.533
394.00	0.536
395.00	0.539
396.00	0.541
397.00	0.543
398.00	0.544
399.00	0.545
400.00	0.546
401.00	0.546
402.00	0.545
403.00	0.544
404.00	0.542
405.00	0.540
406.00	0.537
407.00	0.534
408.00	0.530
409.00	0.525
410.00	0.520
411.00	0.514
412.00	0.508
413.00	0.501
414.00	0.493
415.00	0.486
416.00	0.478
417.00	0.469
418.00	0.461
419.00	0.452
420.00	0.443
421.00	0.434
422.00	0.424
423.00	0.414
424.00	0.404
425.00	0.394
426.00	0.385
427.00	0.376
428.00	0.366
429.00	0.355
430.00	0.346
431.00	0.336
432.00	0.326
433.00	0.317
434.00	0.307
435.00	0.298
436.00	0.289
437.00	0.280
