"164348 - RawData-004 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.009
201.00	3.061
202.00	3.061
203.00	3.049
204.00	2.973
205.00	2.817
206.00	2.604
207.00	2.320
208.00	2.032
209.00	1.749
210.00	1.516
211.00	1.303
212.00	1.125
213.00	0.981
214.00	0.867
215.00	0.778
216.00	0.712
217.00	0.663
218.00	0.630
219.00	0.608
220.00	0.594
221.00	0.588
222.00	0.586
223.00	0.587
224.00	0.589
225.00	0.592
226.00	0.595
227.00	0.597
228.00	0.598
229.00	0.598
230.00	0.596
231.00	0.593
232.00	0.588
233.00	0.581
234.00	0.573
235.00	0.562
236.00	0.550
237.00	0.536
238.00	0.522
239.00	0.507
240.00	0.491
241.00	0.477
242.00	0.461
243.00	0.445
244.00	0.430
245.00	0.414
246.00	0.397
247.00	0.382
248.00	0.367
249.00	0.352
250.00	0.338
251.00	0.326
252.00	0.314
253.00	0.304
254.00	0.295
255.00	0.288
256.00	0.281
257.00	0.276
258.00	0.271
259.00	0.267
260.00	0.262
261.00	0.258
262.00	0.254
263.00	0.249
264.00	0.244
265.00	0.239
266.00	0.233
267.00	0.227
268.00	0.220
269.00	0.214
270.00	0.207
271.00	0.200
272.00	0.194
273.00	0.188
274.00	0.183
275.00	0.178
276.00	0.175
277.00	0.171
278.00	0.169
279.00	0.167
280.00	0.166
281.00	0.165
282.00	0.165
283.00	0.166
284.00	0.168
285.00	0.169
286.00	0.171
287.00	0.174
288.00	0.176
289.00	0.179
290.00	0.182
291.00	0.185
292.00	0.187
293.00	0.189
294.00	0.191
295.00	0.191
296.00	0.191
297.00	0.191
298.00	0.191
299.00	0.191
300.00	0.190
301.00	0.190
302.00	0.190
303.00	0.189
304.00	0.188
305.00	0.186
306.00	0.184
307.00	0.181
308.00	0.179
309.00	0.177
310.00	0.176
311.00	0.175
312.00	0.175
313.00	0.174
314.00	0.174
315.00	0.175
316.00	0.175
317.00	0.176
318.00	0.177
319.00	0.178
320.00	0.179
321.00	0.181
322.00	0.183
323.00	0.185
324.00	0.188
325.00	0.191
326.00	0.195
327.00	0.198
328.00	0.203
329.00	0.208
330.00	0.214
331.00	0.220
332.00	0.227
333.00	0.234
334.00	0.241
335.00	0.249
336.00	0.257
337.00	0.266
338.00	0.276
339.00	0.286
340.00	0.296
341.00	0.311
342.00	0.324
343.00	0.336
344.00	0.348
345.00	0.361
346.00	0.374
347.00	0.388
348.00	0.402
349.00	0.418
350.00	0.433
351.00	0.448
352.00	0.464
353.00	0.480
354.00	0.497
355.00	0.514
356.00	0.531
357.00	0.550
358.00	0.569
359.00	0.588
360.00	0.606
361.00	0.625
362.00	0.646
363.00	0.667
364.00	0.687
365.00	0.712
366.00	0.736
367.00	0.758
368.00	0.780
369.00	0.804
370.00	0.826
371.00	0.849
372.00	0.871
373.00	0.894
374.00	0.916
375.00	0.938
376.00	0.960
377.00	0.980
378.00	1.001
379.00	1.023
380.00	1.043
381.00	1.063
382.00	1.083
383.00	1.102
384.00	1.120
385.00	1.138
386.00	1.155
387.00	1.171
388.00	1.185
389.00	1.199
390.00	1.211
391.00	1.220
392.00	1.230
393.00	1.237
394.00	1.245
395.00	1.251
396.00	1.255
397.00	1.258
398.00	1.261
399.00	1.261
400.00	1.260
401.00	1.258
402.00	1.255
403.00	1.251
404.00	1.244
405.00	1.236
406.00	1.227
407.00	1.215
408.00	1.202
409.00	1.189
410.00	1.172
411.00	1.155
412.00	1.135
413.00	1.114
414.00	1.092
415.00	1.069
416.00	1.044
417.00	1.018
418.00	0.992
419.00	0.965
420.00	0.939
421.00	0.912
422.00	0.884
423.00	0.856
424.00	0.828
425.00	0.800
426.00	0.772
427.00	0.745
428.00	0.717
429.00	0.689
430.00	0.663
431.00	0.636
432.00	0.608
433.00	0.582
434.00	0.556
435.00	0.530
436.00	0.504
437.00	0.480
438.00	0.456
439.00	0.433
440.00	0.410
441.00	0.388
442.00	0.366
443.00	0.346
444.00	0.326
445.00	0.307
446.00	0.289
447.00	0.272
448.00	0.256
449.00	0.240
450.00	0.225
451.00	0.212
452.00	0.199
453.00	0.186
454.00	0.175
455.00	0.164
456.00	0.153
457.00	0.143
458.00	0.134
459.00	0.126
460.00	0.118
461.00	0.110
462.00	0.103
463.00	0.096
464.00	0.090
465.00	0.084
466.00	0.079
467.00	0.075
468.00	0.070
469.00	0.067
470.00	0.063
471.00	0.060
472.00	0.057
473.00	0.054
474.00	0.052
475.00	0.050
476.00	0.048
477.00	0.046
478.00	0.045
479.00	0.044
480.00	0.043
481.00	0.042
482.00	0.041
483.00	0.040
484.00	0.040
485.00	0.039
486.00	0.039
487.00	0.039
488.00	0.039
489.00	0.038
490.00	0.038
491.00	0.038
492.00	0.038
493.00	0.038
494.00	0.038
495.00	0.038
496.00	0.038
497.00	0.038
498.00	0.038
499.00	0.038
500.00	0.038
501.00	0.037
502.00	0.037
503.00	0.036
504.00	0.036
505.00	0.036
506.00	0.036
507.00	0.035
508.00	0.035
509.00	0.035
510.00	0.034
511.00	0.034
512.00	0.034
513.00	0.034
514.00	0.033
515.00	0.033
516.00	0.033
517.00	0.033
518.00	0.032
519.00	0.032
520.00	0.032
521.00	0.032
522.00	0.031
523.00	0.031
524.00	0.031
525.00	0.031
526.00	0.031
527.00	0.030
528.00	0.030
529.00	0.030
530.00	0.030
531.00	0.030
532.00	0.030
533.00	0.029
534.00	0.029
535.00	0.029
536.00	0.029
537.00	0.029
538.00	0.030
539.00	0.032
540.00	0.032
541.00	0.033
542.00	0.034
543.00	0.033
544.00	0.034
545.00	0.034
546.00	0.034
547.00	0.034
548.00	0.034
549.00	0.034
550.00	0.034
551.00	0.034
552.00	0.034
553.00	0.034
554.00	0.034
555.00	0.034
556.00	0.033
557.00	0.033
558.00	0.033
559.00	0.033
560.00	0.033
561.00	0.033
562.00	0.034
563.00	0.034
564.00	0.035
565.00	0.035
566.00	0.035
567.00	0.036
568.00	0.036
569.00	0.037
570.00	0.037
571.00	0.037
572.00	0.036
573.00	0.036
574.00	0.037
575.00	0.037
576.00	0.037
577.00	0.037
578.00	0.037
579.00	0.037
580.00	0.037
581.00	0.037
582.00	0.037
583.00	0.037
584.00	0.037
585.00	0.037
586.00	0.037
587.00	0.037
588.00	0.037
589.00	0.037
590.00	0.037
591.00	0.037
592.00	0.037
593.00	0.037
594.00	0.037
595.00	0.037
596.00	0.037
597.00	0.037
598.00	0.037
599.00	0.037
600.00	0.037
