"154635 - RawData-006 - E:\UV Data\adv phy chem lab\batch A&B\Au np 4_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.684
201.00	2.525
202.00	2.235
203.00	1.929
204.00	1.644
205.00	1.383
206.00	1.164
207.00	0.993
208.00	0.857
209.00	0.750
210.00	0.675
211.00	0.615
212.00	0.571
213.00	0.539
214.00	0.519
215.00	0.506
216.00	0.500
217.00	0.499
218.00	0.502
219.00	0.509
220.00	0.517
221.00	0.528
222.00	0.540
223.00	0.552
224.00	0.565
225.00	0.577
226.00	0.588
227.00	0.597
228.00	0.606
229.00	0.612
230.00	0.617
231.00	0.619
232.00	0.618
233.00	0.615
234.00	0.609
235.00	0.601
236.00	0.589
237.00	0.576
238.00	0.561
239.00	0.543
240.00	0.525
241.00	0.506
242.00	0.485
243.00	0.465
244.00	0.446
245.00	0.426
246.00	0.408
247.00	0.391
248.00	0.376
249.00	0.361
250.00	0.347
251.00	0.336
252.00	0.327
253.00	0.317
254.00	0.310
255.00	0.303
256.00	0.297
257.00	0.292
258.00	0.288
259.00	0.284
260.00	0.281
261.00	0.278
262.00	0.275
263.00	0.273
264.00	0.271
265.00	0.269
266.00	0.268
267.00	0.266
268.00	0.265
269.00	0.264
270.00	0.263
271.00	0.262
272.00	0.262
273.00	0.262
274.00	0.263
275.00	0.264
276.00	0.265
277.00	0.267
278.00	0.270
279.00	0.273
280.00	0.276
281.00	0.280
282.00	0.285
283.00	0.291
284.00	0.297
285.00	0.302
286.00	0.309
287.00	0.315
288.00	0.322
289.00	0.329
290.00	0.335
291.00	0.342
292.00	0.348
293.00	0.354
294.00	0.359
295.00	0.363
296.00	0.366
297.00	0.369
298.00	0.371
299.00	0.372
300.00	0.373
301.00	0.374
302.00	0.373
303.00	0.373
304.00	0.371
305.00	0.369
306.00	0.366
307.00	0.363
308.00	0.359
309.00	0.355
310.00	0.351
311.00	0.346
312.00	0.340
313.00	0.334
314.00	0.326
315.00	0.319
316.00	0.310
317.00	0.301
318.00	0.292
319.00	0.282
320.00	0.272
321.00	0.262
322.00	0.253
323.00	0.244
324.00	0.236
325.00	0.229
326.00	0.223
327.00	0.217
328.00	0.213
329.00	0.208
330.00	0.205
331.00	0.203
332.00	0.200
333.00	0.199
334.00	0.197
335.00	0.197
336.00	0.197
337.00	0.197
338.00	0.197
339.00	0.198
340.00	0.199
341.00	0.194
342.00	0.191
343.00	0.194
344.00	0.196
345.00	0.198
346.00	0.201
347.00	0.203
348.00	0.206
349.00	0.209
350.00	0.213
351.00	0.216
352.00	0.219
353.00	0.223
354.00	0.227
355.00	0.230
356.00	0.234
357.00	0.238
358.00	0.242
359.00	0.246
360.00	0.250
361.00	0.254
362.00	0.259
363.00	0.264
364.00	0.269
365.00	0.275
366.00	0.281
367.00	0.286
368.00	0.291
369.00	0.296
370.00	0.301
371.00	0.306
372.00	0.311
373.00	0.316
