"154635 - RawData-009 - E:\UV Data\adv phy chem lab\batch A&B\Au np 4_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.794
201.00	2.691
202.00	2.432
203.00	2.120
204.00	1.821
205.00	1.534
206.00	1.289
207.00	1.100
208.00	0.951
209.00	0.832
210.00	0.748
211.00	0.681
212.00	0.632
213.00	0.599
214.00	0.576
215.00	0.562
216.00	0.556
217.00	0.555
218.00	0.559
219.00	0.567
220.00	0.578
221.00	0.591
222.00	0.606
223.00	0.621
224.00	0.636
225.00	0.651
226.00	0.665
227.00	0.678
228.00	0.689
229.00	0.698
230.00	0.705
231.00	0.709
232.00	0.709
233.00	0.707
234.00	0.701
235.00	0.691
236.00	0.678
237.00	0.662
238.00	0.644
239.00	0.623
240.00	0.599
241.00	0.577
242.00	0.552
243.00	0.526
244.00	0.502
245.00	0.478
246.00	0.455
247.00	0.434
248.00	0.415
249.00	0.397
250.00	0.381
251.00	0.367
252.00	0.354
253.00	0.342
254.00	0.331
255.00	0.322
256.00	0.313
257.00	0.306
258.00	0.300
259.00	0.294
260.00	0.289
261.00	0.285
262.00	0.281
263.00	0.278
264.00	0.276
265.00	0.274
266.00	0.272
267.00	0.272
268.00	0.271
269.00	0.271
270.00	0.271
271.00	0.272
272.00	0.273
273.00	0.274
274.00	0.276
275.00	0.278
276.00	0.281
277.00	0.284
278.00	0.288
279.00	0.292
280.00	0.296
281.00	0.301
282.00	0.306
283.00	0.312
284.00	0.318
285.00	0.324
286.00	0.330
287.00	0.336
288.00	0.342
289.00	0.349
290.00	0.355
291.00	0.360
292.00	0.366
293.00	0.371
294.00	0.376
295.00	0.380
296.00	0.382
297.00	0.384
298.00	0.386
299.00	0.387
300.00	0.387
301.00	0.386
302.00	0.385
303.00	0.383
304.00	0.381
305.00	0.377
306.00	0.372
307.00	0.367
308.00	0.363
309.00	0.357
310.00	0.351
311.00	0.345
312.00	0.338
313.00	0.330
314.00	0.323
315.00	0.315
316.00	0.306
317.00	0.298
318.00	0.290
319.00	0.281
320.00	0.272
321.00	0.264
322.00	0.256
323.00	0.249
324.00	0.242
325.00	0.236
326.00	0.230
327.00	0.225
328.00	0.220
329.00	0.216
330.00	0.212
331.00	0.209
332.00	0.206
333.00	0.204
334.00	0.201
335.00	0.200
336.00	0.198
337.00	0.197
338.00	0.196
339.00	0.195
340.00	0.194
341.00	0.183
342.00	0.177
343.00	0.177
344.00	0.177
345.00	0.177
346.00	0.178
347.00	0.178
348.00	0.178
349.00	0.179
350.00	0.180
351.00	0.181
352.00	0.181
353.00	0.182
354.00	0.183
355.00	0.183
356.00	0.184
357.00	0.185
358.00	0.186
359.00	0.187
360.00	0.188
361.00	0.189
362.00	0.190
363.00	0.191
364.00	0.192
365.00	0.196
366.00	0.198
367.00	0.200
368.00	0.201
369.00	0.202
370.00	0.203
371.00	0.204
372.00	0.206
373.00	0.207
374.00	0.208
375.00	0.209
376.00	0.210
377.00	0.212
378.00	0.213
379.00	0.214
380.00	0.215
381.00	0.216
382.00	0.217
383.00	0.218
384.00	0.219
385.00	0.220
386.00	0.221
387.00	0.222
388.00	0.223
389.00	0.224
390.00	0.224
391.00	0.225
392.00	0.226
393.00	0.226
394.00	0.226
395.00	0.227
396.00	0.227
397.00	0.227
398.00	0.228
399.00	0.228
400.00	0.228
401.00	0.228
402.00	0.227
403.00	0.227
404.00	0.227
405.00	0.227
406.00	0.226
407.00	0.225
408.00	0.225
409.00	0.224
410.00	0.223
411.00	0.222
412.00	0.221
413.00	0.220
414.00	0.219
415.00	0.218
416.00	0.216
417.00	0.214
418.00	0.213
419.00	0.211
420.00	0.210
421.00	0.208
422.00	0.207
423.00	0.205
424.00	0.203
425.00	0.202
426.00	0.200
427.00	0.199
428.00	0.197
429.00	0.195
430.00	0.194
431.00	0.192
432.00	0.190
433.00	0.189
434.00	0.188
435.00	0.186
436.00	0.184
437.00	0.183
438.00	0.181
439.00	0.180
440.00	0.179
441.00	0.177
442.00	0.176
443.00	0.174
444.00	0.173
445.00	0.172
446.00	0.171
447.00	0.170
448.00	0.169
449.00	0.168
450.00	0.167
451.00	0.166
452.00	0.165
453.00	0.165
454.00	0.164
455.00	0.163
456.00	0.162
457.00	0.162
458.00	0.161
459.00	0.161
460.00	0.160
461.00	0.159
462.00	0.159
463.00	0.158
464.00	0.158
465.00	0.157
466.00	0.157
467.00	0.157
468.00	0.157
469.00	0.157
470.00	0.157
471.00	0.157
472.00	0.157
473.00	0.157
474.00	0.156
475.00	0.156
476.00	0.156
477.00	0.156
478.00	0.156
479.00	0.156
480.00	0.156
481.00	0.156
482.00	0.155
483.00	0.155
484.00	0.155
485.00	0.155
486.00	0.156
487.00	0.156
488.00	0.156
489.00	0.156
490.00	0.157
491.00	0.157
492.00	0.157
493.00	0.157
494.00	0.158
495.00	0.158
496.00	0.158
497.00	0.158
498.00	0.157
499.00	0.157
500.00	0.157
501.00	0.157
502.00	0.156
503.00	0.156
504.00	0.156
505.00	0.155
506.00	0.155
507.00	0.155
508.00	0.155
509.00	0.155
510.00	0.154
511.00	0.154
512.00	0.154
513.00	0.154
514.00	0.154
515.00	0.153
516.00	0.153
517.00	0.153
518.00	0.153
519.00	0.152
520.00	0.152
521.00	0.152
522.00	0.152
523.00	0.151
524.00	0.151
525.00	0.151
526.00	0.150
527.00	0.150
528.00	0.150
529.00	0.150
530.00	0.149
531.00	0.149
532.00	0.149
533.00	0.148
534.00	0.148
535.00	0.147
536.00	0.147
537.00	0.147
538.00	0.146
539.00	0.146
540.00	0.146
541.00	0.145
542.00	0.145
543.00	0.145
544.00	0.144
545.00	0.144
546.00	0.144
547.00	0.143
548.00	0.143
549.00	0.143
550.00	0.143
551.00	0.142
552.00	0.142
553.00	0.142
554.00	0.141
555.00	0.141
556.00	0.141
557.00	0.141
558.00	0.140
559.00	0.140
560.00	0.140
561.00	0.140
562.00	0.139
563.00	0.139
564.00	0.139
565.00	0.139
566.00	0.139
567.00	0.139
568.00	0.139
569.00	0.138
570.00	0.138
571.00	0.138
572.00	0.138
573.00	0.138
574.00	0.138
575.00	0.138
576.00	0.137
577.00	0.137
578.00	0.137
579.00	0.137
580.00	0.137
581.00	0.137
582.00	0.137
583.00	0.137
584.00	0.137
585.00	0.137
586.00	0.136
587.00	0.136
588.00	0.136
589.00	0.136
590.00	0.136
591.00	0.136
592.00	0.136
593.00	0.136
594.00	0.136
595.00	0.136
596.00	0.136
597.00	0.136
598.00	0.136
599.00	0.136
600.00	0.136
