"154635 - RawData-004 - E:\UV Data\adv phy chem lab\batch A&B\Au np 4_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.426
201.00	2.183
202.00	1.886
203.00	1.614
204.00	1.380
205.00	1.169
206.00	0.994
207.00	0.860
208.00	0.753
209.00	0.667
210.00	0.607
211.00	0.557
212.00	0.521
213.00	0.494
214.00	0.477
215.00	0.465
216.00	0.459
217.00	0.457
218.00	0.458
219.00	0.461
220.00	0.467
221.00	0.473
222.00	0.480
223.00	0.488
224.00	0.495
225.00	0.501
226.00	0.507
227.00	0.511
228.00	0.515
229.00	0.517
230.00	0.519
231.00	0.518
232.00	0.516
233.00	0.512
234.00	0.506
235.00	0.498
236.00	0.489
237.00	0.479
238.00	0.468
239.00	0.457
240.00	0.444
241.00	0.432
242.00	0.418
243.00	0.405
244.00	0.392
245.00	0.379
246.00	0.365
247.00	0.353
248.00	0.341
249.00	0.330
250.00	0.320
251.00	0.313
252.00	0.306
253.00	0.300
254.00	0.295
255.00	0.292
256.00	0.288
257.00	0.285
258.00	0.283
259.00	0.280
260.00	0.278
261.00	0.276
262.00	0.274
263.00	0.272
264.00	0.270
265.00	0.268
266.00	0.265
267.00	0.262
268.00	0.259
269.00	0.256
270.00	0.253
271.00	0.250
272.00	0.248
273.00	0.245
274.00	0.243
275.00	0.242
276.00	0.241
277.00	0.240
278.00	0.241
279.00	0.242
280.00	0.243
281.00	0.245
282.00	0.248
283.00	0.252
284.00	0.256
285.00	0.260
286.00	0.265
287.00	0.270
288.00	0.275
289.00	0.281
290.00	0.286
291.00	0.290
292.00	0.295
293.00	0.300
294.00	0.304
295.00	0.307
296.00	0.310
297.00	0.312
298.00	0.313
299.00	0.314
300.00	0.315
301.00	0.315
302.00	0.315
303.00	0.315
304.00	0.314
305.00	0.313
306.00	0.312
307.00	0.310
308.00	0.309
309.00	0.307
310.00	0.305
311.00	0.303
312.00	0.300
313.00	0.296
314.00	0.292
315.00	0.287
316.00	0.281
317.00	0.275
318.00	0.268
319.00	0.261
320.00	0.254
321.00	0.248
322.00	0.241
323.00	0.236
324.00	0.231
325.00	0.226
326.00	0.222
327.00	0.219
328.00	0.217
329.00	0.216
330.00	0.215
331.00	0.216
332.00	0.216
333.00	0.218
334.00	0.219
335.00	0.222
336.00	0.224
337.00	0.228
338.00	0.231
339.00	0.235
340.00	0.239
341.00	0.239
342.00	0.241
343.00	0.247
344.00	0.253
345.00	0.259
346.00	0.265
347.00	0.271
348.00	0.278
349.00	0.285
350.00	0.292
351.00	0.300
352.00	0.307
353.00	0.315
354.00	0.323
355.00	0.330
356.00	0.339
357.00	0.348
358.00	0.356
359.00	0.365
360.00	0.374
361.00	0.383
362.00	0.393
363.00	0.403
364.00	0.413
365.00	0.425
366.00	0.437
367.00	0.447
368.00	0.458
369.00	0.469
370.00	0.479
371.00	0.490
372.00	0.500
373.00	0.512
374.00	0.522
375.00	0.532
376.00	0.543
377.00	0.553
378.00	0.563
379.00	0.573
380.00	0.584
381.00	0.593
382.00	0.603
383.00	0.612
384.00	0.622
385.00	0.630
386.00	0.638
387.00	0.646
388.00	0.653
389.00	0.660
390.00	0.666
391.00	0.672
392.00	0.677
393.00	0.682
394.00	0.686
395.00	0.690
396.00	0.693
397.00	0.695
398.00	0.697
399.00	0.699
400.00	0.699
401.00	0.699
402.00	0.698
403.00	0.697
404.00	0.694
405.00	0.691
406.00	0.687
407.00	0.682
408.00	0.677
409.00	0.671
410.00	0.663
411.00	0.655
412.00	0.647
413.00	0.637
414.00	0.627
415.00	0.616
416.00	0.606
417.00	0.594
418.00	0.582
419.00	0.570
420.00	0.558
421.00	0.545
422.00	0.531
423.00	0.518
424.00	0.504
425.00	0.491
426.00	0.478
427.00	0.465
428.00	0.451
429.00	0.437
430.00	0.424
431.00	0.411
432.00	0.397
433.00	0.384
434.00	0.371
435.00	0.358
436.00	0.346
437.00	0.333
438.00	0.321
439.00	0.308
440.00	0.296
441.00	0.285
442.00	0.274
443.00	0.263
444.00	0.253
445.00	0.243
446.00	0.233
447.00	0.224
448.00	0.215
449.00	0.207
450.00	0.199
451.00	0.192
452.00	0.185
453.00	0.178
454.00	0.172
455.00	0.165
456.00	0.159
457.00	0.154
458.00	0.148
459.00	0.143
460.00	0.139
461.00	0.134
462.00	0.130
463.00	0.126
464.00	0.123
465.00	0.119
466.00	0.116
467.00	0.114
