"164348 - RawData-007 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.092
201.00	2.998
202.00	3.008
203.00	3.013
204.00	2.990
205.00	2.827
206.00	2.612
207.00	2.322
208.00	2.006
209.00	1.702
210.00	1.458
211.00	1.239
212.00	1.057
213.00	0.912
214.00	0.800
215.00	0.712
216.00	0.649
217.00	0.605
218.00	0.577
219.00	0.562
220.00	0.555
221.00	0.556
222.00	0.561
223.00	0.569
224.00	0.580
225.00	0.591
226.00	0.601
227.00	0.611
228.00	0.619
229.00	0.625
230.00	0.629
231.00	0.631
232.00	0.629
233.00	0.624
234.00	0.615
235.00	0.604
236.00	0.589
237.00	0.572
238.00	0.552
239.00	0.530
240.00	0.506
241.00	0.482
242.00	0.456
243.00	0.430
244.00	0.406
245.00	0.382
246.00	0.359
247.00	0.337
248.00	0.318
249.00	0.298
250.00	0.279
251.00	0.264
252.00	0.250
253.00	0.236
254.00	0.225
255.00	0.215
256.00	0.207
257.00	0.199
258.00	0.193
259.00	0.187
260.00	0.181
261.00	0.177
262.00	0.173
263.00	0.169
264.00	0.165
265.00	0.162
266.00	0.158
267.00	0.156
268.00	0.153
269.00	0.150
270.00	0.147
271.00	0.146
272.00	0.144
273.00	0.143
274.00	0.143
275.00	0.143
276.00	0.144
277.00	0.145
278.00	0.147
279.00	0.149
280.00	0.152
281.00	0.155
282.00	0.159
283.00	0.164
284.00	0.168
285.00	0.173
286.00	0.178
287.00	0.183
288.00	0.188
289.00	0.194
290.00	0.199
291.00	0.204
292.00	0.208
293.00	0.212
294.00	0.216
295.00	0.218
296.00	0.219
297.00	0.220
298.00	0.220
299.00	0.220
300.00	0.219
301.00	0.218
302.00	0.216
303.00	0.214
304.00	0.211
305.00	0.207
306.00	0.204
307.00	0.199
308.00	0.194
309.00	0.188
310.00	0.183
311.00	0.178
312.00	0.173
313.00	0.167
314.00	0.163
315.00	0.158
316.00	0.153
317.00	0.149
318.00	0.144
319.00	0.140
320.00	0.137
321.00	0.134
322.00	0.131
323.00	0.128
324.00	0.126
325.00	0.125
326.00	0.123
327.00	0.123
328.00	0.123
329.00	0.123
330.00	0.123
331.00	0.124
332.00	0.126
333.00	0.127
334.00	0.129
335.00	0.132
336.00	0.134
337.00	0.138
338.00	0.142
339.00	0.146
340.00	0.150
341.00	0.154
342.00	0.158
343.00	0.163
344.00	0.168
345.00	0.174
346.00	0.180
347.00	0.186
348.00	0.192
349.00	0.199
350.00	0.206
351.00	0.213
352.00	0.219
353.00	0.227
354.00	0.235
355.00	0.243
356.00	0.251
357.00	0.260
358.00	0.268
359.00	0.277
360.00	0.285
361.00	0.293
362.00	0.303
363.00	0.313
364.00	0.323
365.00	0.335
366.00	0.346
367.00	0.356
368.00	0.367
369.00	0.378
370.00	0.388
371.00	0.399
372.00	0.409
373.00	0.420
374.00	0.430
375.00	0.440
376.00	0.450
377.00	0.460
378.00	0.469
379.00	0.479
380.00	0.489
381.00	0.498
382.00	0.507
383.00	0.516
384.00	0.525
385.00	0.533
386.00	0.542
387.00	0.549
388.00	0.556
389.00	0.562
390.00	0.567
391.00	0.572
392.00	0.576
393.00	0.580
394.00	0.583
395.00	0.586
396.00	0.588
397.00	0.590
398.00	0.591
399.00	0.591
400.00	0.591
401.00	0.590
402.00	0.588
403.00	0.585
404.00	0.582
405.00	0.579
406.00	0.574
407.00	0.568
408.00	0.562
409.00	0.555
410.00	0.548
411.00	0.539
412.00	0.529
413.00	0.519
414.00	0.509
415.00	0.498
416.00	0.486
417.00	0.474
418.00	0.462
419.00	0.450
420.00	0.438
421.00	0.425
422.00	0.411
423.00	0.399
424.00	0.385
425.00	0.372
426.00	0.360
427.00	0.347
428.00	0.334
429.00	0.321
430.00	0.309
431.00	0.297
432.00	0.284
433.00	0.271
434.00	0.259
435.00	0.248
436.00	0.236
437.00	0.225
438.00	0.214
439.00	0.203
440.00	0.192
441.00	0.182
442.00	0.172
443.00	0.163
444.00	0.154
445.00	0.145
446.00	0.137
447.00	0.129
448.00	0.122
449.00	0.115
450.00	0.108
451.00	0.102
452.00	0.096
453.00	0.091
454.00	0.086
455.00	0.081
456.00	0.076
457.00	0.071
458.00	0.067
459.00	0.064
460.00	0.060
461.00	0.057
462.00	0.053
463.00	0.050
464.00	0.048
465.00	0.045
466.00	0.043
467.00	0.041
468.00	0.039
469.00	0.037
470.00	0.035
471.00	0.034
472.00	0.033
473.00	0.032
474.00	0.031
475.00	0.030
476.00	0.029
477.00	0.028
478.00	0.027
479.00	0.027
480.00	0.026
481.00	0.026
482.00	0.025
483.00	0.025
484.00	0.025
485.00	0.025
486.00	0.025
487.00	0.024
488.00	0.024
489.00	0.024
490.00	0.025
491.00	0.025
492.00	0.025
493.00	0.025
494.00	0.025
495.00	0.025
496.00	0.025
497.00	0.024
498.00	0.024
499.00	0.024
500.00	0.024
501.00	0.024
502.00	0.023
503.00	0.023
504.00	0.023
505.00	0.023
506.00	0.022
507.00	0.022
508.00	0.022
509.00	0.022
510.00	0.021
511.00	0.021
512.00	0.021
513.00	0.021
514.00	0.020
515.00	0.020
516.00	0.020
517.00	0.019
518.00	0.019
519.00	0.019
520.00	0.019
521.00	0.019
522.00	0.018
523.00	0.018
524.00	0.018
525.00	0.018
526.00	0.020
527.00	0.018
528.00	0.017
529.00	0.017
530.00	0.017
531.00	0.017
532.00	0.017
533.00	0.016
534.00	0.016
535.00	0.016
536.00	0.016
537.00	0.016
538.00	0.016
539.00	0.016
540.00	0.015
541.00	0.015
542.00	0.015
543.00	0.015
544.00	0.015
545.00	0.015
546.00	0.015
547.00	0.015
548.00	0.015
549.00	0.014
550.00	0.014
551.00	0.014
552.00	0.014
553.00	0.014
554.00	0.014
555.00	0.014
556.00	0.014
557.00	0.014
558.00	0.014
559.00	0.014
560.00	0.014
561.00	0.014
562.00	0.014
563.00	0.014
564.00	0.013
565.00	0.013
566.00	0.013
567.00	0.013
568.00	0.013
569.00	0.013
570.00	0.013
571.00	0.013
572.00	0.013
573.00	0.013
574.00	0.013
575.00	0.013
576.00	0.013
577.00	0.014
578.00	0.013
579.00	0.013
580.00	0.013
581.00	0.013
582.00	0.013
583.00	0.013
584.00	0.013
585.00	0.013
586.00	0.013
587.00	0.013
588.00	0.013
589.00	0.013
590.00	0.013
591.00	0.013
592.00	0.013
593.00	0.013
594.00	0.013
595.00	0.014
596.00	0.014
597.00	0.014
598.00	0.014
599.00	0.014
600.00	0.014
