"164348 - RawData-006 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.014
201.00	3.003
202.00	3.026
203.00	3.015
204.00	2.960
205.00	2.842
206.00	2.635
207.00	2.341
208.00	2.026
209.00	1.727
210.00	1.488
211.00	1.269
212.00	1.086
213.00	0.940
214.00	0.827
215.00	0.738
216.00	0.674
217.00	0.628
218.00	0.598
219.00	0.581
220.00	0.572
221.00	0.571
222.00	0.574
223.00	0.580
224.00	0.588
225.00	0.597
226.00	0.605
227.00	0.612
228.00	0.618
229.00	0.623
230.00	0.625
231.00	0.624
232.00	0.621
233.00	0.616
234.00	0.607
235.00	0.595
236.00	0.581
237.00	0.565
238.00	0.547
239.00	0.527
240.00	0.506
241.00	0.485
242.00	0.462
243.00	0.439
244.00	0.418
245.00	0.396
246.00	0.375
247.00	0.355
248.00	0.337
249.00	0.319
250.00	0.302
251.00	0.288
252.00	0.274
253.00	0.262
254.00	0.251
255.00	0.242
256.00	0.234
257.00	0.227
258.00	0.221
259.00	0.215
260.00	0.211
261.00	0.206
262.00	0.202
263.00	0.198
264.00	0.193
265.00	0.189
266.00	0.185
267.00	0.181
268.00	0.177
269.00	0.173
270.00	0.169
271.00	0.165
272.00	0.162
273.00	0.159
274.00	0.157
275.00	0.156
276.00	0.155
277.00	0.154
278.00	0.154
279.00	0.155
280.00	0.157
281.00	0.159
282.00	0.161
283.00	0.164
284.00	0.168
285.00	0.171
286.00	0.175
287.00	0.179
288.00	0.184
289.00	0.188
290.00	0.193
291.00	0.197
292.00	0.200
293.00	0.204
294.00	0.206
295.00	0.208
296.00	0.209
297.00	0.209
298.00	0.209
299.00	0.209
300.00	0.208
301.00	0.207
302.00	0.206
303.00	0.204
304.00	0.202
305.00	0.199
306.00	0.196
307.00	0.192
308.00	0.187
309.00	0.183
310.00	0.179
311.00	0.176
312.00	0.172
313.00	0.169
314.00	0.166
315.00	0.163
316.00	0.160
317.00	0.157
318.00	0.155
319.00	0.152
320.00	0.150
321.00	0.149
322.00	0.148
323.00	0.147
324.00	0.147
325.00	0.147
326.00	0.148
327.00	0.149
328.00	0.150
329.00	0.152
330.00	0.155
331.00	0.158
332.00	0.161
333.00	0.165
334.00	0.169
335.00	0.173
336.00	0.178
337.00	0.183
338.00	0.189
339.00	0.195
340.00	0.202
341.00	0.208
342.00	0.216
343.00	0.223
344.00	0.231
345.00	0.239
346.00	0.248
347.00	0.257
348.00	0.266
349.00	0.276
350.00	0.285
351.00	0.296
352.00	0.305
353.00	0.316
354.00	0.328
355.00	0.339
356.00	0.351
357.00	0.363
358.00	0.375
359.00	0.388
360.00	0.399
361.00	0.412
362.00	0.426
363.00	0.440
364.00	0.454
365.00	0.475
366.00	0.500
367.00	0.509
368.00	0.518
369.00	0.533
370.00	0.548
371.00	0.564
372.00	0.579
373.00	0.594
374.00	0.609
375.00	0.624
376.00	0.638
377.00	0.652
378.00	0.666
379.00	0.680
380.00	0.694
381.00	0.707
382.00	0.720
383.00	0.734
384.00	0.746
385.00	0.758
386.00	0.770
387.00	0.781
388.00	0.790
389.00	0.799
390.00	0.807
391.00	0.814
392.00	0.820
393.00	0.825
394.00	0.830
395.00	0.834
396.00	0.837
397.00	0.839
398.00	0.840
399.00	0.841
400.00	0.840
401.00	0.839
402.00	0.837
403.00	0.834
404.00	0.829
405.00	0.824
406.00	0.818
407.00	0.810
408.00	0.801
409.00	0.792
410.00	0.781
411.00	0.769
412.00	0.756
413.00	0.742
414.00	0.727
415.00	0.711
416.00	0.695
417.00	0.677
418.00	0.660
419.00	0.642
420.00	0.625
421.00	0.606
422.00	0.587
423.00	0.568
424.00	0.549
425.00	0.530
426.00	0.512
427.00	0.493
428.00	0.475
429.00	0.456
430.00	0.438
431.00	0.420
432.00	0.402
433.00	0.384
434.00	0.367
435.00	0.349
436.00	0.332
437.00	0.317
438.00	0.301
439.00	0.285
440.00	0.269
441.00	0.255
442.00	0.241
443.00	0.227
444.00	0.214
445.00	0.201
446.00	0.189
447.00	0.178
448.00	0.167
449.00	0.157
450.00	0.147
451.00	0.138
452.00	0.130
453.00	0.121
454.00	0.114
455.00	0.107
456.00	0.099
457.00	0.093
458.00	0.087
459.00	0.081
460.00	0.076
461.00	0.071
462.00	0.066
463.00	0.062
464.00	0.058
465.00	0.054
466.00	0.051
467.00	0.048
468.00	0.045
469.00	0.042
470.00	0.040
471.00	0.038
472.00	0.036
473.00	0.034
474.00	0.033
475.00	0.031
476.00	0.030
477.00	0.029
478.00	0.029
479.00	0.028
480.00	0.027
481.00	0.026
482.00	0.026
483.00	0.026
484.00	0.025
485.00	0.025
486.00	0.025
487.00	0.025
488.00	0.025
489.00	0.025
490.00	0.025
491.00	0.025
492.00	0.025
493.00	0.025
494.00	0.025
495.00	0.025
496.00	0.025
497.00	0.024
498.00	0.024
499.00	0.024
500.00	0.024
501.00	0.024
502.00	0.023
503.00	0.023
504.00	0.023
505.00	0.023
506.00	0.023
507.00	0.022
508.00	0.022
509.00	0.022
510.00	0.022
511.00	0.021
512.00	0.021
513.00	0.021
514.00	0.021
