"154635 - RawData-007 - E:\UV Data\adv phy chem lab\batch A&B\Au np 4_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.776
201.00	2.609
202.00	2.353
203.00	2.045
204.00	1.744
205.00	1.465
206.00	1.230
207.00	1.048
208.00	0.902
209.00	0.786
210.00	0.706
211.00	0.642
212.00	0.596
213.00	0.563
214.00	0.541
215.00	0.528
216.00	0.521
217.00	0.520
218.00	0.524
219.00	0.532
220.00	0.542
221.00	0.554
222.00	0.567
223.00	0.581
224.00	0.595
225.00	0.609
226.00	0.621
227.00	0.633
228.00	0.643
229.00	0.651
230.00	0.656
231.00	0.659
232.00	0.659
233.00	0.656
234.00	0.651
235.00	0.641
236.00	0.629
237.00	0.615
238.00	0.598
239.00	0.579
240.00	0.558
241.00	0.537
242.00	0.514
243.00	0.491
244.00	0.469
245.00	0.447
246.00	0.427
247.00	0.408
248.00	0.391
249.00	0.375
250.00	0.360
251.00	0.347
252.00	0.336
253.00	0.326
254.00	0.316
255.00	0.309
256.00	0.302
257.00	0.296
258.00	0.290
259.00	0.286
260.00	0.282
261.00	0.279
262.00	0.276
263.00	0.273
264.00	0.271
265.00	0.269
266.00	0.268
267.00	0.267
268.00	0.266
269.00	0.265
270.00	0.265
271.00	0.265
272.00	0.265
273.00	0.266
274.00	0.267
275.00	0.269
276.00	0.271
277.00	0.274
278.00	0.277
279.00	0.280
280.00	0.285
281.00	0.289
282.00	0.294
283.00	0.300
284.00	0.306
285.00	0.312
286.00	0.319
287.00	0.325
288.00	0.332
289.00	0.339
290.00	0.345
291.00	0.352
292.00	0.358
293.00	0.364
294.00	0.369
295.00	0.374
296.00	0.377
297.00	0.379
298.00	0.381
299.00	0.383
300.00	0.383
301.00	0.383
302.00	0.383
303.00	0.382
304.00	0.380
305.00	0.378
306.00	0.374
307.00	0.370
308.00	0.366
309.00	0.361
310.00	0.356
311.00	0.350
312.00	0.344
313.00	0.336
314.00	0.329
315.00	0.320
316.00	0.311
317.00	0.302
318.00	0.292
319.00	0.283
320.00	0.273
321.00	0.263
322.00	0.254
323.00	0.245
324.00	0.237
325.00	0.230
326.00	0.223
327.00	0.218
328.00	0.213
329.00	0.208
330.00	0.204
331.00	0.201
332.00	0.198
333.00	0.196
334.00	0.194
335.00	0.193
336.00	0.192
337.00	0.191
338.00	0.191
339.00	0.191
340.00	0.191
341.00	0.183
342.00	0.179
343.00	0.180
344.00	0.181
345.00	0.182
346.00	0.184
347.00	0.185
348.00	0.187
349.00	0.189
350.00	0.191
351.00	0.193
352.00	0.194
353.00	0.197
354.00	0.199
355.00	0.201
356.00	0.203
357.00	0.206
358.00	0.208
359.00	0.211
360.00	0.214
361.00	0.216
362.00	0.219
363.00	0.222
364.00	0.224
365.00	0.229
366.00	0.233
367.00	0.236
368.00	0.239
369.00	0.242
370.00	0.245
371.00	0.248
372.00	0.251
373.00	0.255
374.00	0.258
375.00	0.261
376.00	0.264
377.00	0.267
378.00	0.270
379.00	0.273
380.00	0.276
381.00	0.279
382.00	0.281
383.00	0.284
384.00	0.287
385.00	0.289
386.00	0.292
387.00	0.294
388.00	0.296
389.00	0.298
390.00	0.300
391.00	0.302
392.00	0.303
393.00	0.305
394.00	0.306
395.00	0.307
396.00	0.308
397.00	0.309
398.00	0.309
399.00	0.309
400.00	0.310
401.00	0.310
402.00	0.309
403.00	0.309
404.00	0.308
405.00	0.307
406.00	0.306
407.00	0.305
408.00	0.303
409.00	0.301
410.00	0.299
411.00	0.297
412.00	0.294
413.00	0.291
414.00	0.288
415.00	0.285
416.00	0.282
417.00	0.279
418.00	0.275
419.00	0.272
420.00	0.268
421.00	0.264
422.00	0.260
423.00	0.256
424.00	0.252
425.00	0.248
426.00	0.244
427.00	0.240
428.00	0.237
429.00	0.232
430.00	0.228
431.00	0.225
432.00	0.220
433.00	0.217
434.00	0.213
435.00	0.209
436.00	0.205
437.00	0.202
438.00	0.198
439.00	0.194
440.00	0.191
441.00	0.187
442.00	0.184
443.00	0.181
444.00	0.177
445.00	0.174
446.00	0.172
447.00	0.169
448.00	0.166
449.00	0.164
450.00	0.162
451.00	0.160
452.00	0.158
453.00	0.156
454.00	0.154
455.00	0.152
456.00	0.150
457.00	0.149
458.00	0.147
459.00	0.145
460.00	0.144
461.00	0.143
462.00	0.141
463.00	0.140
464.00	0.139
465.00	0.138
466.00	0.137
467.00	0.137
468.00	0.136
469.00	0.136
470.00	0.135
471.00	0.135
472.00	0.135
473.00	0.135
474.00	0.134
475.00	0.134
476.00	0.134
477.00	0.133
478.00	0.133
479.00	0.133
480.00	0.132
481.00	0.132
482.00	0.132
483.00	0.131
484.00	0.131
485.00	0.131
486.00	0.131
487.00	0.132
488.00	0.132
489.00	0.132
490.00	0.133
491.00	0.133
492.00	0.133
493.00	0.134
494.00	0.134
495.00	0.134
496.00	0.134
497.00	0.133
498.00	0.133
499.00	0.133
500.00	0.132
501.00	0.132
502.00	0.131
503.00	0.130
504.00	0.130
505.00	0.129
506.00	0.129
507.00	0.129
508.00	0.128
509.00	0.128
510.00	0.127
511.00	0.127
512.00	0.127
513.00	0.127
514.00	0.126
515.00	0.126
516.00	0.126
517.00	0.126
518.00	0.125
519.00	0.125
520.00	0.125
521.00	0.125
522.00	0.124
523.00	0.124
524.00	0.124
525.00	0.123
526.00	0.123
527.00	0.123
528.00	0.122
529.00	0.122
530.00	0.122
531.00	0.121
532.00	0.121
533.00	0.121
534.00	0.120
535.00	0.120
536.00	0.120
537.00	0.119
538.00	0.119
539.00	0.119
540.00	0.118
541.00	0.118
542.00	0.117
543.00	0.117
544.00	0.117
545.00	0.116
546.00	0.116
547.00	0.116
548.00	0.116
549.00	0.115
550.00	0.115
551.00	0.115
552.00	0.114
553.00	0.114
554.00	0.114
555.00	0.114
556.00	0.113
557.00	0.113
558.00	0.113
559.00	0.113
560.00	0.113
561.00	0.112
562.00	0.112
563.00	0.112
564.00	0.112
565.00	0.112
566.00	0.112
567.00	0.111
568.00	0.111
569.00	0.111
570.00	0.111
571.00	0.111
572.00	0.111
573.00	0.111
574.00	0.110
575.00	0.110
576.00	0.110
577.00	0.110
578.00	0.110
579.00	0.110
580.00	0.110
581.00	0.110
582.00	0.110
583.00	0.110
584.00	0.109
585.00	0.109
586.00	0.109
587.00	0.109
588.00	0.109
589.00	0.109
590.00	0.109
591.00	0.109
592.00	0.109
593.00	0.109
594.00	0.109
595.00	0.109
596.00	0.109
597.00	0.109
598.00	0.109
599.00	0.109
600.00	0.109
