"154635 - RawData-002 - E:\UV Data\adv phy chem lab\batch A&B\Au np 2_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.295
201.00	2.029
202.00	1.736
203.00	1.483
204.00	1.272
205.00	1.089
206.00	0.940
207.00	0.824
208.00	0.732
209.00	0.657
210.00	0.604
211.00	0.561
212.00	0.528
213.00	0.505
214.00	0.489
215.00	0.479
216.00	0.474
217.00	0.472
218.00	0.473
219.00	0.475
220.00	0.480
221.00	0.485
222.00	0.490
223.00	0.495
224.00	0.499
225.00	0.503
226.00	0.505
227.00	0.507
228.00	0.508
229.00	0.508
230.00	0.506
231.00	0.503
232.00	0.499
233.00	0.493
234.00	0.486
235.00	0.478
236.00	0.468
237.00	0.458
238.00	0.447
239.00	0.436
240.00	0.425
241.00	0.414
242.00	0.403
243.00	0.390
244.00	0.378
245.00	0.365
246.00	0.351
247.00	0.338
248.00	0.325
249.00	0.313
250.00	0.302
251.00	0.293
252.00	0.286
253.00	0.279
254.00	0.274
255.00	0.269
256.00	0.265
257.00	0.262
258.00	0.258
259.00	0.255
260.00	0.252
261.00	0.248
262.00	0.245
263.00	0.241
264.00	0.236
265.00	0.232
266.00	0.226
267.00	0.221
268.00	0.214
269.00	0.208
270.00	0.202
271.00	0.195
272.00	0.190
273.00	0.184
274.00	0.179
275.00	0.175
276.00	0.171
277.00	0.167
278.00	0.164
279.00	0.162
280.00	0.161
281.00	0.160
282.00	0.160
283.00	0.160
284.00	0.161
285.00	0.162
286.00	0.164
287.00	0.165
288.00	0.167
289.00	0.168
290.00	0.170
291.00	0.171
292.00	0.172
293.00	0.173
294.00	0.174
295.00	0.175
296.00	0.175
297.00	0.175
298.00	0.175
299.00	0.175
300.00	0.175
301.00	0.175
302.00	0.174
303.00	0.173
304.00	0.173
305.00	0.172
306.00	0.171
307.00	0.170
308.00	0.171
309.00	0.171
310.00	0.171
311.00	0.171
312.00	0.172
313.00	0.172
314.00	0.173
315.00	0.174
316.00	0.175
317.00	0.176
318.00	0.176
319.00	0.178
320.00	0.179
321.00	0.181
322.00	0.183
323.00	0.185
324.00	0.187
325.00	0.190
326.00	0.194
327.00	0.197
328.00	0.201
329.00	0.206
330.00	0.210
331.00	0.215
332.00	0.221
333.00	0.227
334.00	0.233
335.00	0.240
336.00	0.247
337.00	0.254
338.00	0.261
339.00	0.269
340.00	0.277
341.00	0.282
342.00	0.290
343.00	0.299
344.00	0.309
345.00	0.319
346.00	0.330
347.00	0.340
348.00	0.351
349.00	0.362
350.00	0.374
351.00	0.386
352.00	0.397
353.00	0.410
354.00	0.423
355.00	0.435
356.00	0.447
357.00	0.462
358.00	0.475
359.00	0.489
360.00	0.504
361.00	0.519
362.00	0.534
363.00	0.550
364.00	0.565
365.00	0.583
366.00	0.601
367.00	0.617
368.00	0.633
369.00	0.650
370.00	0.667
371.00	0.683
372.00	0.700
373.00	0.717
374.00	0.733
375.00	0.750
376.00	0.766
377.00	0.782
378.00	0.797
379.00	0.813
380.00	0.829
381.00	0.845
382.00	0.859
383.00	0.874
384.00	0.888
385.00	0.901
386.00	0.913
387.00	0.925
388.00	0.936
389.00	0.947
390.00	0.957
391.00	0.965
392.00	0.974
393.00	0.981
394.00	0.987
395.00	0.993
396.00	0.997
397.00	1.001
398.00	1.004
399.00	1.006
400.00	1.006
401.00	1.006
402.00	1.004
403.00	1.002
404.00	0.999
405.00	0.993
406.00	0.986
407.00	0.978
408.00	0.969
409.00	0.960
410.00	0.949
411.00	0.936
412.00	0.922
413.00	0.908
414.00	0.892
415.00	0.875
416.00	0.857
417.00	0.838
418.00	0.819
419.00	0.800
420.00	0.781
421.00	0.761
422.00	0.740
423.00	0.719
424.00	0.698
425.00	0.677
426.00	0.657
427.00	0.636
428.00	0.615
429.00	0.593
430.00	0.572
431.00	0.552
432.00	0.531
433.00	0.511
434.00	0.490
435.00	0.470
436.00	0.450
437.00	0.430
438.00	0.411
439.00	0.392
440.00	0.374
441.00	0.357
442.00	0.340
443.00	0.323
444.00	0.306
445.00	0.290
446.00	0.275
447.00	0.261
448.00	0.247
449.00	0.234
450.00	0.222
451.00	0.211
452.00	0.199
453.00	0.189
454.00	0.178
455.00	0.169
456.00	0.160
457.00	0.151
458.00	0.143
459.00	0.136
460.00	0.129
461.00	0.122
462.00	0.116
463.00	0.109
464.00	0.104
465.00	0.099
466.00	0.094
467.00	0.090
468.00	0.086
469.00	0.082
470.00	0.079
471.00	0.076
472.00	0.073
473.00	0.071
474.00	0.069
475.00	0.067
476.00	0.065
477.00	0.064
478.00	0.062
479.00	0.061
480.00	0.060
481.00	0.059
482.00	0.059
