"154635 - RawData-003 - E:\UV Data\adv phy chem lab\batch A&B\Au np 3_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.281
201.00	2.032
202.00	1.738
203.00	1.485
204.00	1.271
205.00	1.083
206.00	0.930
207.00	0.813
208.00	0.718
209.00	0.642
210.00	0.588
211.00	0.544
212.00	0.510
213.00	0.486
214.00	0.471
215.00	0.460
216.00	0.455
217.00	0.453
218.00	0.453
219.00	0.456
220.00	0.460
221.00	0.465
222.00	0.471
223.00	0.476
224.00	0.481
225.00	0.485
226.00	0.489
227.00	0.491
228.00	0.493
229.00	0.493
230.00	0.493
231.00	0.491
232.00	0.488
233.00	0.483
234.00	0.477
235.00	0.469
236.00	0.461
237.00	0.451
238.00	0.441
239.00	0.431
240.00	0.420
241.00	0.410
242.00	0.399
243.00	0.387
244.00	0.376
245.00	0.364
246.00	0.351
247.00	0.339
248.00	0.328
249.00	0.317
250.00	0.308
251.00	0.300
252.00	0.294
253.00	0.288
254.00	0.284
255.00	0.280
256.00	0.277
257.00	0.274
258.00	0.271
259.00	0.269
260.00	0.266
261.00	0.264
262.00	0.261
263.00	0.258
264.00	0.255
265.00	0.252
266.00	0.248
267.00	0.244
268.00	0.239
269.00	0.234
270.00	0.229
271.00	0.225
272.00	0.220
273.00	0.216
274.00	0.213
275.00	0.209
276.00	0.207
277.00	0.204
278.00	0.203
279.00	0.202
280.00	0.202
281.00	0.203
282.00	0.204
283.00	0.206
284.00	0.208
285.00	0.210
286.00	0.214
287.00	0.217
288.00	0.220
289.00	0.223
290.00	0.226
291.00	0.229
292.00	0.232
293.00	0.234
294.00	0.237
295.00	0.239
296.00	0.240
297.00	0.241
298.00	0.241
299.00	0.242
300.00	0.242
301.00	0.242
302.00	0.242
303.00	0.241
304.00	0.241
305.00	0.240
306.00	0.238
307.00	0.237
308.00	0.236
309.00	0.236
310.00	0.235
311.00	0.234
312.00	0.234
313.00	0.232
314.00	0.231
315.00	0.229
316.00	0.227
317.00	0.225
318.00	0.222
319.00	0.219
320.00	0.217
321.00	0.215
322.00	0.213
323.00	0.211
324.00	0.210
325.00	0.210
326.00	0.210
327.00	0.210
328.00	0.212
329.00	0.214
330.00	0.216
331.00	0.218
332.00	0.222
333.00	0.226
334.00	0.230
335.00	0.235
336.00	0.240
337.00	0.245
338.00	0.251
339.00	0.257
340.00	0.263
341.00	0.266
342.00	0.272
343.00	0.279
344.00	0.288
345.00	0.296
346.00	0.304
347.00	0.314
348.00	0.322
349.00	0.331
350.00	0.341
351.00	0.352
352.00	0.362
353.00	0.372
354.00	0.383
355.00	0.394
356.00	0.404
357.00	0.416
358.00	0.427
359.00	0.439
360.00	0.451
361.00	0.464
362.00	0.477
363.00	0.491
364.00	0.504
365.00	0.519
366.00	0.535
367.00	0.548
368.00	0.563
369.00	0.577
370.00	0.591
371.00	0.605
372.00	0.619
373.00	0.634
374.00	0.647
375.00	0.661
376.00	0.675
377.00	0.689
378.00	0.702
379.00	0.715
380.00	0.729
381.00	0.742
382.00	0.754
383.00	0.767
384.00	0.780
385.00	0.791
386.00	0.801
387.00	0.811
388.00	0.821
