"164348 - RawData-001 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	3.185
201.00	3.082
202.00	3.092
203.00	3.101
204.00	3.043
205.00	2.966
206.00	2.845
207.00	2.615
208.00	2.333
209.00	2.040
210.00	1.785
211.00	1.545
212.00	1.338
213.00	1.168
214.00	1.034
215.00	0.928
216.00	0.848
217.00	0.790
218.00	0.749
219.00	0.723
220.00	0.706
221.00	0.696
222.00	0.692
223.00	0.691
224.00	0.692
225.00	0.694
226.00	0.695
227.00	0.696
228.00	0.695
229.00	0.693
230.00	0.690
231.00	0.685
232.00	0.678
233.00	0.669
234.00	0.658
235.00	0.645
236.00	0.631
237.00	0.616
238.00	0.601
239.00	0.585
240.00	0.568
241.00	0.553
242.00	0.537
243.00	0.521
244.00	0.506
245.00	0.490
246.00	0.473
247.00	0.457
248.00	0.441
249.00	0.425
250.00	0.409
251.00	0.395
252.00	0.382
253.00	0.370
254.00	0.360
255.00	0.352
256.00	0.345
257.00	0.339
258.00	0.334
259.00	0.330
260.00	0.325
261.00	0.321
262.00	0.316
263.00	0.310
264.00	0.304
265.00	0.297
266.00	0.290
267.00	0.282
268.00	0.273
269.00	0.264
270.00	0.255
271.00	0.245
272.00	0.237
273.00	0.228
274.00	0.221
275.00	0.214
276.00	0.208
277.00	0.203
278.00	0.198
279.00	0.195
280.00	0.192
281.00	0.191
282.00	0.190
283.00	0.190
284.00	0.190
285.00	0.191
286.00	0.193
287.00	0.195
288.00	0.198
289.00	0.201
290.00	0.204
291.00	0.207
292.00	0.211
293.00	0.213
294.00	0.215
295.00	0.215
296.00	0.216
297.00	0.216
298.00	0.216
299.00	0.216
300.00	0.217
301.00	0.218
302.00	0.219
303.00	0.220
304.00	0.220
305.00	0.219
306.00	0.222
307.00	0.220
308.00	0.218
309.00	0.216
310.00	0.216
311.00	0.216
312.00	0.218
313.00	0.220
314.00	0.222
315.00	0.225
316.00	0.229
317.00	0.233
318.00	0.237
319.00	0.241
320.00	0.245
321.00	0.251
322.00	0.256
323.00	0.262
324.00	0.268
325.00	0.275
326.00	0.283
327.00	0.291
328.00	0.300
329.00	0.309
330.00	0.320
331.00	0.331
332.00	0.343
333.00	0.356
334.00	0.369
335.00	0.382
336.00	0.397
337.00	0.413
338.00	0.430
339.00	0.447
340.00	0.464
341.00	0.488
342.00	0.510
343.00	0.530
344.00	0.551
345.00	0.572
346.00	0.595
347.00	0.617
348.00	0.642
349.00	0.666
350.00	0.692
351.00	0.717
352.00	0.743
353.00	0.771
354.00	0.799
355.00	0.829
356.00	0.859
357.00	0.890
358.00	0.920
359.00	0.950
360.00	0.980
361.00	1.011
362.00	1.046
363.00	1.080
364.00	1.116
365.00	1.152
366.00	1.189
367.00	1.224
368.00	1.260
369.00	1.297
370.00	1.335
371.00	1.371
372.00	1.406
373.00	1.441
374.00	1.475
375.00	1.511
376.00	1.543
377.00	1.572
378.00	1.602
379.00	1.636
380.00	1.666
381.00	1.695
382.00	1.730
383.00	1.754
384.00	1.785
385.00	1.806
386.00	1.832
387.00	1.857
388.00	1.876
389.00	1.894
390.00	1.911
391.00	1.925
392.00	1.935
393.00	1.942
394.00	1.952
395.00	1.962
396.00	1.965
397.00	1.970
398.00	1.972
399.00	1.970
400.00	1.969
401.00	1.963
402.00	1.955
403.00	1.948
404.00	1.940
405.00	1.924
406.00	1.908
407.00	1.891
408.00	1.870
409.00	1.849
410.00	1.822
411.00	1.795
412.00	1.765
413.00	1.732
414.00	1.698
415.00	1.660
416.00	1.618
417.00	1.572
418.00	1.532
419.00	1.492
420.00	1.450
421.00	1.406
422.00	1.361
423.00	1.317
424.00	1.272
425.00	1.228
426.00	1.185
427.00	1.142
428.00	1.099
429.00	1.053
430.00	1.011
431.00	0.968
432.00	0.924
433.00	0.882
434.00	0.840
435.00	0.799
436.00	0.758
437.00	0.721
438.00	0.682
439.00	0.644
440.00	0.607
441.00	0.573
442.00	0.539
443.00	0.507
444.00	0.475
445.00	0.446
446.00	0.417
447.00	0.390
448.00	0.364
449.00	0.339
450.00	0.316
451.00	0.295
452.00	0.275
453.00	0.255
454.00	0.238
455.00	0.221
456.00	0.204
457.00	0.189
458.00	0.175
459.00	0.162
460.00	0.150
461.00	0.139
462.00	0.128
463.00	0.118
464.00	0.109
465.00	0.100
466.00	0.093
467.00	0.086
468.00	0.079
469.00	0.073
470.00	0.068
471.00	0.063
472.00	0.059
473.00	0.055
474.00	0.052
475.00	0.049
476.00	0.046
477.00	0.044
478.00	0.042
479.00	0.040
480.00	0.039
481.00	0.038
482.00	0.037
483.00	0.036
484.00	0.035
485.00	0.035
486.00	0.034
487.00	0.034
488.00	0.034
489.00	0.033
490.00	0.033
491.00	0.033
492.00	0.032
493.00	0.032
494.00	0.032
495.00	0.032
496.00	0.031
497.00	0.031
498.00	0.031
499.00	0.030
500.00	0.030
501.00	0.030
502.00	0.030
503.00	0.030
504.00	0.029
505.00	0.029
506.00	0.029
507.00	0.029
508.00	0.029
509.00	0.029
510.00	0.028
511.00	0.028
512.00	0.028
513.00	0.028
514.00	0.028
515.00	0.028
516.00	0.027
517.00	0.027
518.00	0.027
519.00	0.027
520.00	0.026
521.00	0.026
522.00	0.026
523.00	0.026
524.00	0.025
525.00	0.025
526.00	0.025
527.00	0.025
528.00	0.025
529.00	0.024
530.00	0.024
531.00	0.024
532.00	0.024
533.00	0.024
534.00	0.024
535.00	0.023
536.00	0.023
537.00	0.023
538.00	0.023
539.00	0.023
540.00	0.023
541.00	0.023
542.00	0.023
543.00	0.022
544.00	0.022
545.00	0.022
546.00	0.022
547.00	0.022
548.00	0.022
549.00	0.022
550.00	0.022
551.00	0.022
552.00	0.022
553.00	0.022
554.00	0.021
555.00	0.021
556.00	0.021
557.00	0.021
558.00	0.021
559.00	0.021
560.00	0.021
561.00	0.021
562.00	0.021
563.00	0.021
564.00	0.021
565.00	0.021
566.00	0.021
567.00	0.021
568.00	0.021
569.00	0.020
570.00	0.020
571.00	0.020
572.00	0.020
573.00	0.020
574.00	0.020
575.00	0.020
576.00	0.020
577.00	0.020
578.00	0.020
579.00	0.020
580.00	0.020
581.00	0.020
582.00	0.020
583.00	0.019
584.00	0.020
585.00	0.020
586.00	0.020
587.00	0.020
588.00	0.020
589.00	0.020
590.00	0.020
591.00	0.020
592.00	0.020
593.00	0.020
594.00	0.020
595.00	0.020
596.00	0.021
597.00	0.021
598.00	0.023
599.00	0.024
600.00	0.025
