"Storage 153732 - RawData - E:\UV Data\adv phy chem lab\batch A&B\blnk pnp without Ag.spc"
"Wavelength nm."	"Abs."
200.00	2.679
201.00	2.466
202.00	2.223
203.00	1.998
204.00	1.805
205.00	1.619
206.00	1.453
207.00	1.313
208.00	1.190
209.00	1.081
210.00	0.994
211.00	0.914
212.00	0.850
213.00	0.800
214.00	0.764
215.00	0.737
216.00	0.718
217.00	0.705
218.00	0.697
219.00	0.692
220.00	0.689
221.00	0.689
222.00	0.689
223.00	0.689
224.00	0.689
225.00	0.689
226.00	0.687
227.00	0.684
228.00	0.681
229.00	0.677
230.00	0.672
231.00	0.665
232.00	0.656
233.00	0.646
234.00	0.634
235.00	0.620
236.00	0.606
237.00	0.591
238.00	0.576
239.00	0.560
240.00	0.544
241.00	0.529
242.00	0.512
243.00	0.494
244.00	0.476
245.00	0.458
246.00	0.439
247.00	0.421
248.00	0.405
249.00	0.389
250.00	0.375
251.00	0.363
252.00	0.354
253.00	0.346
254.00	0.340
255.00	0.335
256.00	0.330
257.00	0.327
258.00	0.323
259.00	0.319
260.00	0.315
261.00	0.311
262.00	0.306
263.00	0.300
264.00	0.293
265.00	0.286
266.00	0.278
267.00	0.269
268.00	0.259
269.00	0.248
270.00	0.238
271.00	0.228
272.00	0.218
273.00	0.209
274.00	0.201
275.00	0.193
276.00	0.186
277.00	0.180
278.00	0.175
279.00	0.171
280.00	0.168
281.00	0.166
282.00	0.165
283.00	0.165
284.00	0.165
285.00	0.166
286.00	0.168
287.00	0.170
288.00	0.171
289.00	0.173
290.00	0.174
291.00	0.175
292.00	0.176
293.00	0.176
294.00	0.177
295.00	0.177
296.00	0.177
297.00	0.177
298.00	0.177
299.00	0.176
300.00	0.176
301.00	0.175
302.00	0.174
303.00	0.173
304.00	0.172
305.00	0.171
306.00	0.172
307.00	0.173
308.00	0.173
309.00	0.174
310.00	0.176
311.00	0.177
312.00	0.180
313.00	0.182
314.00	0.185
315.00	0.189
316.00	0.193
317.00	0.197
318.00	0.202
319.00	0.207
320.00	0.213
321.00	0.219
322.00	0.225
323.00	0.232
324.00	0.239
325.00	0.247
326.00	0.255
327.00	0.263
328.00	0.273
329.00	0.282
330.00	0.292
331.00	0.302
332.00	0.313
333.00	0.324
334.00	0.336
335.00	0.348
336.00	0.360
337.00	0.373
338.00	0.387
339.00	0.401
340.00	0.415
341.00	0.433
342.00	0.449
343.00	0.466
344.00	0.483
345.00	0.500
346.00	0.519
347.00	0.536
348.00	0.555
349.00	0.575
350.00	0.596
351.00	0.616
352.00	0.635
353.00	0.657
354.00	0.679
355.00	0.700
356.00	0.722
357.00	0.746
358.00	0.770
359.00	0.795
360.00	0.818
361.00	0.844
362.00	0.870
363.00	0.897
364.00	0.924
365.00	0.948
366.00	0.976
367.00	1.005
368.00	1.034
369.00	1.062
370.00	1.091
371.00	1.119
372.00	1.149
373.00	1.178
374.00	1.206
375.00	1.234
376.00	1.261
377.00	1.288
378.00	1.316
379.00	1.344
380.00	1.372
381.00	1.398
382.00	1.424
383.00	1.450
384.00	1.472
385.00	1.494
386.00	1.518
387.00	1.540
388.00	1.559
389.00	1.578
390.00	1.596
391.00	1.611
392.00	1.627
393.00	1.637
394.00	1.647
395.00	1.659
396.00	1.670
397.00	1.676
398.00	1.682
399.00	1.686
400.00	1.688
401.00	1.688
402.00	1.685
403.00	1.682
404.00	1.675
405.00	1.668
406.00	1.658
407.00	1.643
408.00	1.632
409.00	1.614
410.00	1.596
411.00	1.574
412.00	1.552
413.00	1.527
414.00	1.501
415.00	1.473
416.00	1.443
417.00	1.410
418.00	1.378
419.00	1.346
420.00	1.313
421.00	1.279
422.00	1.245
423.00	1.210
424.00	1.174
425.00	1.138
426.00	1.102
427.00	1.066
428.00	1.030
429.00	0.992
430.00	0.957
431.00	0.923
432.00	0.887
433.00	0.852
434.00	0.817
435.00	0.781
436.00	0.746
437.00	0.713
438.00	0.680
439.00	0.647
440.00	0.615
441.00	0.585
442.00	0.555
443.00	0.526
444.00	0.497
445.00	0.469
446.00	0.443
447.00	0.418
448.00	0.395
449.00	0.371
450.00	0.350
451.00	0.330
452.00	0.310
453.00	0.290
454.00	0.273
455.00	0.256
456.00	0.240
457.00	0.225
458.00	0.211
459.00	0.198
460.00	0.185
461.00	0.174
462.00	0.162
463.00	0.151
464.00	0.142
465.00	0.133
466.00	0.124
467.00	0.117
468.00	0.110
469.00	0.103
470.00	0.097
471.00	0.091
472.00	0.086
473.00	0.081
474.00	0.077
475.00	0.074
476.00	0.071
477.00	0.068
478.00	0.065
479.00	0.063
480.00	0.061
481.00	0.060
482.00	0.058
483.00	0.057
484.00	0.056
485.00	0.055
486.00	0.054
487.00	0.054
488.00	0.053
489.00	0.053
490.00	0.052
491.00	0.052
492.00	0.051
493.00	0.051
494.00	0.051
495.00	0.051
496.00	0.051
497.00	0.050
498.00	0.050
499.00	0.050
500.00	0.050
501.00	0.050
502.00	0.050
503.00	0.050
504.00	0.050
505.00	0.050
506.00	0.050
507.00	0.050
508.00	0.050
509.00	0.050
510.00	0.050
511.00	0.050
512.00	0.049
513.00	0.049
514.00	0.049
515.00	0.049
516.00	0.049
517.00	0.049
518.00	0.049
519.00	0.049
520.00	0.049
521.00	0.049
522.00	0.049
523.00	0.049
524.00	0.049
525.00	0.049
526.00	0.049
527.00	0.049
528.00	0.049
529.00	0.049
530.00	0.049
531.00	0.049
532.00	0.049
533.00	0.049
534.00	0.049
535.00	0.049
536.00	0.049
537.00	0.049
538.00	0.049
539.00	0.049
540.00	0.049
541.00	0.049
542.00	0.049
543.00	0.049
544.00	0.049
545.00	0.049
546.00	0.049
547.00	0.049
548.00	0.048
549.00	0.048
550.00	0.048
551.00	0.048
552.00	0.048
553.00	0.048
554.00	0.048
555.00	0.048
556.00	0.048
557.00	0.048
558.00	0.048
559.00	0.048
560.00	0.048
561.00	0.048
562.00	0.048
563.00	0.048
564.00	0.048
565.00	0.048
566.00	0.048
567.00	0.048
568.00	0.048
569.00	0.048
570.00	0.048
571.00	0.048
572.00	0.048
573.00	0.048
574.00	0.048
575.00	0.048
576.00	0.048
577.00	0.048
578.00	0.048
579.00	0.048
580.00	0.048
581.00	0.048
582.00	0.048
583.00	0.048
584.00	0.048
585.00	0.048
586.00	0.048
587.00	0.048
588.00	0.048
589.00	0.048
590.00	0.048
591.00	0.048
592.00	0.048
593.00	0.048
594.00	0.048
595.00	0.048
596.00	0.048
597.00	0.048
598.00	0.047
599.00	0.047
600.00	0.047
