"164348 - RawData-011 - E:\UV Data\adv phy chem lab\batch A&B\Au nr1_30ul.spc"
"Wavelength nm."	"Abs."
200.00	2.973
201.00	2.959
202.00	2.982
203.00	2.987
204.00	2.936
205.00	2.848
206.00	2.625
207.00	2.322
208.00	1.989
209.00	1.676
210.00	1.423
211.00	1.194
212.00	1.007
213.00	0.860
214.00	0.750
215.00	0.667
216.00	0.609
217.00	0.570
218.00	0.546
219.00	0.534
220.00	0.532
221.00	0.538
222.00	0.550
223.00	0.564
224.00	0.580
225.00	0.597
226.00	0.613
227.00	0.629
228.00	0.643
229.00	0.655
230.00	0.664
231.00	0.668
232.00	0.669
233.00	0.665
234.00	0.657
235.00	0.644
236.00	0.627
237.00	0.606
238.00	0.581
239.00	0.552
240.00	0.520
241.00	0.490
242.00	0.456
243.00	0.422
244.00	0.390
245.00	0.358
246.00	0.327
247.00	0.299
248.00	0.274
249.00	0.250
250.00	0.229
251.00	0.211
252.00	0.194
253.00	0.178
254.00	0.164
255.00	0.151
256.00	0.140
257.00	0.130
258.00	0.121
259.00	0.114
260.00	0.107
261.00	0.102
262.00	0.097
263.00	0.093
264.00	0.090
265.00	0.088
266.00	0.086
267.00	0.085
268.00	0.085
269.00	0.086
270.00	0.087
271.00	0.089
272.00	0.091
273.00	0.094
274.00	0.097
275.00	0.101
276.00	0.105
277.00	0.110
278.00	0.115
279.00	0.121
280.00	0.126
281.00	0.132
282.00	0.138
283.00	0.145
284.00	0.152
285.00	0.159
286.00	0.166
287.00	0.172
288.00	0.179
289.00	0.185
290.00	0.191
291.00	0.196
292.00	0.202
293.00	0.206
294.00	0.210
295.00	0.213
296.00	0.215
297.00	0.216
298.00	0.216
299.00	0.216
300.00	0.214
301.00	0.212
302.00	0.209
303.00	0.205
304.00	0.200
305.00	0.194
306.00	0.189
307.00	0.182
308.00	0.174
309.00	0.167
310.00	0.159
311.00	0.150
312.00	0.142
313.00	0.133
314.00	0.124
315.00	0.116
316.00	0.109
317.00	0.101
318.00	0.095
319.00	0.089
320.00	0.083
321.00	0.078
322.00	0.073
323.00	0.069
324.00	0.064
325.00	0.061
326.00	0.057
327.00	0.054
328.00	0.051
329.00	0.049
330.00	0.046
331.00	0.044
332.00	0.041
333.00	0.039
334.00	0.037
335.00	0.036
336.00	0.034
337.00	0.032
338.00	0.031
339.00	0.030
340.00	0.029
341.00	0.028
342.00	0.028
343.00	0.027
344.00	0.026
345.00	0.026
346.00	0.026
347.00	0.025
348.00	0.025
349.00	0.024
350.00	0.024
351.00	0.024
352.00	0.024
353.00	0.024
354.00	0.024
355.00	0.024
356.00	0.023
357.00	0.023
358.00	0.023
359.00	0.024
360.00	0.023
361.00	0.023
362.00	0.023
363.00	0.023
364.00	0.023
365.00	0.024
366.00	0.024
367.00	0.024
368.00	0.024
369.00	0.024
370.00	0.024
371.00	0.023
372.00	0.024
373.00	0.024
374.00	0.024
375.00	0.024
376.00	0.024
377.00	0.024
378.00	0.023
379.00	0.024
380.00	0.024
381.00	0.024
382.00	0.024
383.00	0.024
384.00	0.024
385.00	0.024
386.00	0.023
387.00	0.023
388.00	0.023
389.00	0.023
390.00	0.023
391.00	0.023
392.00	0.023
393.00	0.023
394.00	0.023
395.00	0.023
396.00	0.023
397.00	0.023
398.00	0.023
399.00	0.023
400.00	0.023
401.00	0.023
402.00	0.023
403.00	0.023
404.00	0.023
405.00	0.023
406.00	0.023
407.00	0.022
408.00	0.022
409.00	0.022
410.00	0.022
411.00	0.022
412.00	0.022
413.00	0.022
414.00	0.022
415.00	0.022
416.00	0.022
417.00	0.022
418.00	0.022
419.00	0.022
420.00	0.022
421.00	0.022
422.00	0.022
423.00	0.021
424.00	0.021
425.00	0.021
426.00	0.021
427.00	0.021
428.00	0.021
429.00	0.021
430.00	0.021
431.00	0.021
432.00	0.021
433.00	0.021
434.00	0.021
435.00	0.021
436.00	0.021
437.00	0.021
438.00	0.021
439.00	0.021
440.00	0.020
441.00	0.020
442.00	0.020
443.00	0.020
444.00	0.021
445.00	0.021
446.00	0.021
447.00	0.021
448.00	0.021
449.00	0.021
450.00	0.021
451.00	0.021
452.00	0.021
453.00	0.021
454.00	0.021
455.00	0.021
456.00	0.021
457.00	0.021
458.00	0.020
459.00	0.020
460.00	0.020
461.00	0.020
462.00	0.020
463.00	0.020
464.00	0.020
465.00	0.020
466.00	0.020
467.00	0.020
468.00	0.020
469.00	0.020
470.00	0.020
471.00	0.020
472.00	0.020
473.00	0.020
474.00	0.020
475.00	0.020
476.00	0.020
477.00	0.020
478.00	0.020
479.00	0.020
480.00	0.020
481.00	0.020
482.00	0.020
483.00	0.020
484.00	0.020
485.00	0.020
486.00	0.021
487.00	0.021
488.00	0.021
489.00	0.021
490.00	0.021
491.00	0.021
492.00	0.022
493.00	0.022
494.00	0.022
495.00	0.022
496.00	0.022
497.00	0.022
498.00	0.021
499.00	0.021
500.00	0.021
501.00	0.021
502.00	0.021
503.00	0.021
504.00	0.020
505.00	0.020
506.00	0.020
507.00	0.020
508.00	0.020
509.00	0.020
510.00	0.020
511.00	0.019
512.00	0.019
513.00	0.019
514.00	0.019
515.00	0.019
516.00	0.019
517.00	0.018
518.00	0.018
519.00	0.018
520.00	0.018
521.00	0.018
522.00	0.017
523.00	0.017
524.00	0.017
525.00	0.017
526.00	0.017
527.00	0.017
528.00	0.017
529.00	0.016
530.00	0.016
531.00	0.016
532.00	0.016
533.00	0.016
534.00	0.016
535.00	0.016
536.00	0.015
537.00	0.015
538.00	0.015
539.00	0.015
540.00	0.015
541.00	0.015
542.00	0.015
543.00	0.015
544.00	0.015
545.00	0.014
546.00	0.014
547.00	0.014
548.00	0.014
549.00	0.014
550.00	0.014
551.00	0.014
552.00	0.014
553.00	0.014
554.00	0.014
555.00	0.014
556.00	0.014
557.00	0.014
558.00	0.014
559.00	0.014
