"154635 - RawData-001 - E:\UV Data\adv phy chem lab\batch A&B\Au np 1_10ul.spc"
"Wavelength nm."	"Abs."
200.00	2.212
201.00	1.962
202.00	1.675
203.00	1.427
204.00	1.226
205.00	1.050
206.00	0.907
207.00	0.798
208.00	0.710
209.00	0.638
210.00	0.587
211.00	0.545
212.00	0.513
213.00	0.490
214.00	0.475
215.00	0.465
216.00	0.459
217.00	0.457
218.00	0.457
219.00	0.459
220.00	0.463
221.00	0.467
222.00	0.472
223.00	0.476
224.00	0.480
225.00	0.482
226.00	0.484
227.00	0.486
228.00	0.486
229.00	0.485
230.00	0.483
231.00	0.480
232.00	0.475
233.00	0.469
234.00	0.462
235.00	0.453
236.00	0.443
237.00	0.433
238.00	0.422
239.00	0.412
240.00	0.401
241.00	0.390
242.00	0.379
243.00	0.367
244.00	0.355
245.00	0.341
246.00	0.327
247.00	0.314
248.00	0.301
249.00	0.289
250.00	0.278
251.00	0.269
252.00	0.261
253.00	0.254
254.00	0.248
255.00	0.244
256.00	0.239
257.00	0.236
258.00	0.232
259.00	0.229
260.00	0.225
261.00	0.222
262.00	0.218
263.00	0.213
264.00	0.208
265.00	0.203
266.00	0.198
267.00	0.192
268.00	0.185
269.00	0.178
270.00	0.171
271.00	0.165
272.00	0.159
273.00	0.153
274.00	0.148
275.00	0.142
276.00	0.138
277.00	0.134
278.00	0.131
279.00	0.128
280.00	0.126
281.00	0.125
282.00	0.124
283.00	0.124
284.00	0.124
285.00	0.125
286.00	0.126
287.00	0.127
288.00	0.127
289.00	0.129
290.00	0.129
291.00	0.130
292.00	0.130
293.00	0.130
294.00	0.131
295.00	0.131
296.00	0.131
297.00	0.131
298.00	0.131
299.00	0.131
300.00	0.130
301.00	0.130
302.00	0.129
303.00	0.128
304.00	0.128
305.00	0.128
306.00	0.127
307.00	0.127
308.00	0.127
309.00	0.127
310.00	0.128
311.00	0.129
312.00	0.130
313.00	0.132
314.00	0.133
315.00	0.135
316.00	0.137
317.00	0.140
318.00	0.142
319.00	0.145
320.00	0.148
321.00	0.151
322.00	0.155
323.00	0.159
324.00	0.163
325.00	0.167
326.00	0.172
327.00	0.176
328.00	0.181
329.00	0.187
330.00	0.193
331.00	0.199
332.00	0.205
333.00	0.211
334.00	0.218
335.00	0.226
336.00	0.233
337.00	0.241
338.00	0.249
339.00	0.257
340.00	0.266
341.00	0.271
342.00	0.279
343.00	0.289
344.00	0.299
345.00	0.310
346.00	0.320
347.00	0.331
348.00	0.342
349.00	0.354
350.00	0.366
351.00	0.379
352.00	0.391
353.00	0.404
354.00	0.417
355.00	0.429
356.00	0.442
357.00	0.457
358.00	0.472
359.00	0.486
360.00	0.500
361.00	0.516
362.00	0.533
363.00	0.548
364.00	0.564
365.00	0.582
366.00	0.600
367.00	0.617
368.00	0.634
369.00	0.652
370.00	0.669
371.00	0.686
372.00	0.703
373.00	0.721
374.00	0.737
375.00	0.754
376.00	0.771
377.00	0.787
378.00	0.803
379.00	0.819
380.00	0.836
381.00	0.851
382.00	0.867
383.00	0.882
384.00	0.896
385.00	0.909
386.00	0.922
387.00	0.935
388.00	0.946
389.00	0.957
390.00	0.967
391.00	0.976
392.00	0.985
393.00	0.992
394.00	0.997
395.00	1.004
396.00	1.009
397.00	1.012
398.00	1.015
399.00	1.017
400.00	1.018
401.00	1.018
402.00	1.016
403.00	1.013
404.00	1.009
405.00	1.004
406.00	0.997
407.00	0.989
408.00	0.980
409.00	0.970
410.00	0.958
411.00	0.944
412.00	0.930
413.00	0.915
414.00	0.899
415.00	0.882
416.00	0.864
417.00	0.844
418.00	0.824
419.00	0.805
420.00	0.784
421.00	0.763
422.00	0.742
423.00	0.721
424.00	0.700
425.00	0.678
426.00	0.657
427.00	0.635
428.00	0.613
429.00	0.590
430.00	0.569
431.00	0.549
432.00	0.527
433.00	0.506
434.00	0.485
435.00	0.464
436.00	0.443
437.00	0.423
438.00	0.403
439.00	0.384
440.00	0.365
441.00	0.347
442.00	0.330
443.00	0.312
444.00	0.295
445.00	0.279
446.00	0.263
447.00	0.248
448.00	0.235
449.00	0.221
450.00	0.208
451.00	0.197
452.00	0.185
453.00	0.174
454.00	0.163
455.00	0.153
456.00	0.144
457.00	0.135
458.00	0.127
459.00	0.119
460.00	0.112
461.00	0.105
462.00	0.098
463.00	0.092
464.00	0.086
465.00	0.081
466.00	0.077
467.00	0.072
468.00	0.068
469.00	0.064
470.00	0.061
471.00	0.057
472.00	0.055
473.00	0.052
474.00	0.050
475.00	0.048
476.00	0.046
477.00	0.045
478.00	0.043
479.00	0.042
480.00	0.041
481.00	0.041
482.00	0.040
483.00	0.039
484.00	0.039
485.00	0.038
486.00	0.038
487.00	0.038
488.00	0.038
489.00	0.037
490.00	0.037
491.00	0.037
492.00	0.037
493.00	0.037
494.00	0.037
495.00	0.037
496.00	0.037
497.00	0.038
498.00	0.038
499.00	0.038
500.00	0.038
501.00	0.038
502.00	0.038
503.00	0.038
504.00	0.038
505.00	0.038
506.00	0.039
507.00	0.039
508.00	0.039
509.00	0.039
510.00	0.039
511.00	0.039
512.00	0.039
513.00	0.039
514.00	0.039
515.00	0.039
516.00	0.039
517.00	0.039
518.00	0.039
519.00	0.039
520.00	0.039
521.00	0.039
522.00	0.039
523.00	0.038
524.00	0.038
525.00	0.038
526.00	0.038
527.00	0.038
528.00	0.037
529.00	0.037
530.00	0.037
531.00	0.037
532.00	0.036
533.00	0.036
534.00	0.036
535.00	0.036
536.00	0.035
537.00	0.035
538.00	0.035
539.00	0.034
540.00	0.034
541.00	0.034
542.00	0.033
543.00	0.033
544.00	0.033
545.00	0.032
546.00	0.032
547.00	0.032
548.00	0.032
549.00	0.031
550.00	0.031
551.00	0.031
552.00	0.031
553.00	0.030
554.00	0.030
555.00	0.030
556.00	0.030
557.00	0.029
558.00	0.029
559.00	0.029
560.00	0.029
561.00	0.029
562.00	0.028
563.00	0.028
564.00	0.028
565.00	0.028
566.00	0.027
567.00	0.027
568.00	0.027
569.00	0.027
570.00	0.027
571.00	0.027
572.00	0.027
573.00	0.026
574.00	0.026
575.00	0.026
576.00	0.026
577.00	0.026
578.00	0.026
579.00	0.026
580.00	0.026
581.00	0.025
582.00	0.025
583.00	0.025
584.00	0.025
585.00	0.025
586.00	0.025
587.00	0.025
588.00	0.025
589.00	0.025
590.00	0.025
591.00	0.025
592.00	0.025
593.00	0.025
594.00	0.025
595.00	0.025
596.00	0.025
597.00	0.024
598.00	0.024
599.00	0.024
600.00	0.024
