,dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,active_hosp,active_home,Date
77,4038,617,482,5,333,61,112041,16742,6195,9929,618,166,16016358,4700055,12,,,29.06.2020
78,3949,486,522,25,350,59,115990,17228,6134,10451,643,156,16046748,4708089,,,,30.06.2020
79,4068,877,589,19,347,55,120058,18105,6403,11040,662,226,16081138,4718642,,,,1.07.2020
80,4140,937,631,14,344,56,124198,19402,6695,11671,676,278,16118595,4730159,18,,,2.07.2020
81,4250,807,619,9,389,59,128448,19849,6874,12290,685,258,16156299,4742458,8,,,3.07.2020
82,3757,819,399,18,385,56,132205,20668,7276,12689,703,265,16195728,4755129,26,,,4.07.2020
83,2704,852,420,12,410,70,132816,21520,7696,13109,715,,,,,,,5.07.2020
84,4548,861,630,15,368,64,137364,22381,7912,13739,730,265,16195728,4755129,26,,,6.07.2020
85,3853,640,672,21,385,63,141217,23021,7859,14411,751,241,16263699,4775365,11,,,7.07.2020
86,4727,1147,587,19,401,79,145944,24168,8400,14998,770,231,16296160,4785674,16,,,8.07.2020
87,4684,1006,581,16,402,75,150628,25174,8809,15579,786,219,16332444,4796686,,,,9.07.2020
88,4315,903,609,14,443,74,154943,26077,9089,16188,800,286,16375649,4808207,17,,,10.07.2020
89,4398,827,808,16,461,64,159341,26904,9092,16996,816,320,16417619,4820210,54,,,11.07.2020
90,1514,621,486,24,487,72,160855,27525,9203,17482,840,,,,,,,12.07.2020
91,5168,832,614,9,486,74,166023,28357,9412,18096,849,361,16457998,4833046,,,,13.07.2020
92,5749,750,728,25,513,76,171772,29107,9409,18824,874,444,16513361,4849666,13,,,14.07.2020
93,6343,1416,746,15,502,76,178115,30523,10064,19570,889,491,16571294,4866489,68,,,15.07.2020
94,6582,1812,764,17,536,80,184697,31884,10644,20334,906,469,16634735,4884101,58,,,16.07.2020
95,6811,1705,773,11,527,82,191508,34040,12016,21107,917,536,16707273,4904269,88,,,17.07.2020
96,6891,1838,774,18,547,89,198489,35878,13062,21881,935,542,16772366,4924652,27,,,18.07.2020
97,3815,1508,730,41,557,94,202304,37386,13799,22611,976,70,16780733,4927396,2,,,19.07.2020
98,6918,1817,830,29,591,96,209222,39203,14757,23441,1005,530,16841934,4946911,,,,20.07.2020
99,6222,1512,805,30,616,99,215444,40715,15434,24246,1035,573,16918410,4969581,30,,,21.07.2020
100,7595,1751,883,33,609,94,223039,42466,16269,25129,1068,612,16995010,4991407,48,,,22.07.2020
101,6665,1599,779,36,589,82,229704,44065,17053,25908,1104,609,17075542,5016470,45,,,23.07.2020
102,5747,1479,817,29,663,102,235451,45544,17686,26725,1133,630,17164044,5041305,49,,,24.07.2020
103,6090,1521,693,20,673,115,241541,47065,18494,27418,1153,552,17248877,5066388,30,,,25.07.2020
104,2506,992,175,13,682,105,244047,48057,18298,28593,1166,,,,,,,26.07.2020
105,4467,1160,896,16,744,97,248514,49217,18546,29489,1182,609,17352357,5090627,,,,27.07.2020
106,6567,1213,591,33,742,98,255081,50430,19135,30080,1215,648,17439433,5115824,,,,28.07.2020
107,5919,1308,2543,39,845,99,261000,51738,17861,32623,1254,647,17527217,5142099,75,,,29.07.2020
108,6241,1699,1315,30,927,100,267241,53437,18215,33938,1284,575,17606271,5165610,21,,,30.07.2020
109,6151,818,1185,28,626,100,273392,54255,17820,35123,1312,613,17684095,5189400,24,,,31.07.2020
110,5863,1506,1791,23,638,100,279255,55761,17512,36914,1335,638,17756739,5211336,14,,,1.08.2020
111,3620,1271,1203,31,639,97,281840,57523,18040,38117,1366,294,17807999,5226226,14,,,2.08.2020
112,4604,1270,1822,18,633,98,286444,58304,16981,39939,1384,,,,,,,3.08.2020
113,5595,1192,1312,28,656,404,292039,59496,16833,41251,1412,582,17891452,5252645,19,,,4.08.2020
114,5698,1101,1159,17,675,425,297737,60597,16758,42410,1429,589,17952148,5271567,23,,,5.08.2020
115,5208,1440,1196,27,674,425,302945,62037,16975,43606,1456,,,,,,,6.08.2020
116,5584,1249,1168,23,703,439,308529,63286,17033,44774,1479,,,,,,,7.08.2020
117,5051,1290,1961,37,717,443,313580,64576,16325,46735,1516,,,,,,,8.08.2020
118,6008,1390,1879,24,726,448,319588,65966,15812,48614,1540,,,,,,,9.08.2020
119,5133,761,1499,31,738,444,324721,66727,15043,50113,1571,,,,,,,10.08.2020
120,5320,924,1240,22,735,443,330041,67651,14705,51353,1593,530,18243953,5354905,20,,,11.08.2020
121,6213,1584,1449,28,735,445,336254,69236,14812,52802,1621,463,18291181,5368233,32,,,12.08.2020
122,6335,1091,1156,35,737,448,342589,70326,14712,53958,1656,458,18339625,5383022,25,,,13.08.2020
123,5673,1177,1142,27,750,467,348262,71503,14720,55100,1683,443,18396832,5398828,26,,,14.08.2020
124,5840,1073,1145,27,760,466,354102,72576,14621,56245,1710,458,18339625,5383022,25,,,15.08.2020
125,5707,1522,1412,29,760,462,359809,74098,14702,57657,1739,,,,,,,16.08.2020
126,4635,835,1049,46,765,464,364444,74993,14442,58706,1785,453,18496341,5432100,13,,,17.08.2020
127,5947,1224,1168,29,760,463,370391,76157,14469,59874,1814,440,18550103,5450276,23,,,18.08.2020
128,6690,1211,1089,35,815,483,377081,77368,14556,60963,1849,449,18606554,5469315,43,,,19.08.2020
129,6747,1669,1386,33,802,486,383828,79037,14806,62349,1882,456,18666239,5487285,11,,,20.08.2020
130,7208,1556,1570,35,793,483,391036,80593,14757,63919,1917,468,18721219,5507134,19,,,21.08.2020
131,6891,1577,1427,33,804,488,397927,82170,14874,65346,1950,,,,,,,22.08.2020
132,4868,1225,1243,38,803,493,402795,83395,14818,66589,1988,318,18745112,5518613,8,,,23.08.2020
133,5129,1101,1188,45,802,487,407924,84496,14686,67777,2033,426,18805573,5538733,11,,,24.08.2020
134,6370,1204,1123,44,796,483,414294,85700,14723,68900,2077,487,18860065,5562103,9,,,25.08.2020
135,6164,1617,1369,31,812,492,420458,87317,14940,70269,2108,474,18922309,5582937,11,,,26.08.2020
136,6092,1773,1680,38,818,496,426550,89090,14995,71949,2146,464,18978858,5602167,,,,27.08.2020
137,6449,1781,1578,40,827,498,432999,90871,15158,73527,2168,426,19021470,5617536,24,,,28.08.2020
138,7047,1968,1657,46,834,506,440046,92839,15423,75184,2232,472,19078390,5636834,13,,,29.08.2020
139,5713,1658,1502,35,833,507,445759,94497,15544,76686,2267,,,,,,,30.08.2020
140,2847,876,1384,37,884,527,451053,95373,14999,78070,2304,462,19133020,5655700,15,,,31.08.2020
141,6753,1695,1419,28,890,529,457806,97068,15247,79489,2332,,,,,,,1.09.2020
142,6215,1627,1408,43,1040,530,464021,98695,15423,80897,2375,476,19187462,5674690,18,,,2.09.2020
143,6734,1764,1188,26,885,530,470755,100459,15973,82085,2401,470,19238992,5692410,21,,,3.09.2020
144,6723,1617,1830,30,891,529,477478,102076,15730,83915,2431,430,19289373,5710223,15,,,4.09.2020
145,6704,1736,1456,37,910,529,484182,103812,15973,85371,2468,473,19352873,5731939,16,,,5.09.2020
146,7235,3002,1569,44,910,478,491417,105905,16453,86940,2512,,,,,,,6.09.2020
147,3354,1144,1639,37,912,480,494771,107958,16830,88579,2549,478,19424644,5755155,12,,,7.09.2020
148,5486,1880,2022,35,912,480,500257,109838,16653,90601,2584,502,19494486,5778722,18,,,8.09.2020
149,7609,2078,2013,41,927,483,507866,111916,16677,92614,2625,500,19563344,5801579,20,,,9.09.2020
150,6795,1916,1838,43,940,485,514661,113832,16712,94452,2668,519,19631229,5825151,18,6915,9797,10.09.2020
151,6588,1938,1573,38,917,470,521249,115770,17039,96025,2706,541,19695290,5847229,19,6523,10516,11.09.2020
152,6626,1909,1464,42,910,473,527875,117679,17442,97489,2748,522,19777847,5869355,,6897,10545,12.09.2020
153,6770,1978,1587,45,910,440,534645,119657,17788,99076,2793,,,,,6867,10550,13.09.2020
154,2807,867,1456,39,928,479,537452,120757,17393,100532,2832,349,19834500,5888900,11,6837,10556,14.09.2020
155,5494,1691,1563,43,929,473,542946,122448,17478,102095,2875,930,19915535,5912311,927,6886,10592,15.09.2020
156,7162,2120,1883,43,936,480,550108,124568,17672,103978,2918,768,20029671,5946342,694,6970,10702,16.09.2020
157,6549,1964,2219,45,939,479,556657,126532,17372,106197,2963,800,20141940,5980586,623,6765,10607,17.09.2020
158,6289,1891,1926,44,961,493,562946,128423,17293,108123,3007,813,20256835,6017868,540,6693,10600,18.09.2020
159,5919,1658,1248,39,957,495,568865,130081,17664,109371,3046,823,20368410,6055111,594,6707,10829,19.09.2020
160,6067,1787,1545,38,961,494,574932,131781,17781,110916,3084,,,,,6722,11059,20.09.2020
161,2697,884,1256,37,952,492,577629,132665,17372,112172,3171,758,20461365,6084843,418,6508,10920,21.09.2020
162,5215,1364,1614,46,957,492,582344,134029,17076,113786,3167,827,20566540,6119282,411,6295,10781,22.09.2020
163,6463,1789,1512,46,952,496,589307,135818,17037,115298,3213,835,20677300,6156771,442,6526,10781,23.09.2020
164,5642,1512,1328,42,957,499,594949,137330,17449,116626,3255,863,20784190,6193534,373,6547,10902,24.09.2020
165,6142,1621,1256,41,949,523,601091,138951,17773,117882,3296,899,20897671,6232989,432,6646,11127,25.09.2020
166,5503,1637,1695,36,932,514,606594,140588,17679,119577,3332,887,21017470,6274423,416,6549,11130,26.09.2020
167,5614,1548,1599,41,940,520,612208,142136,17587,121176,2273,,,,,6453,11134,27.09.2020
168,3212,779,1105,33,943,520,615420,142915,17228,122281,3406,878,21154867,6320900,410,6280,10948,28.09.2020
169,5678,1040,1548,40,938,519,621098,143955,16680,123829,3446,904,21296015,6364243,398,6170,10510,29.09.2020
170,6256,1336,1431,40,932,516,627354,145291,16545,125260,3486,950,21471586,6414313,340,6079,10466,30.09.2020
171,5260,1036,1170,42,913,512,632614,146327,16369,126430,3528,995,21665616,6471320,359,5936,10433,1.10.2020
172,5724,1024,1209,43,910,508,638338,147351,16141,127639,3571,1026,21849695,6526256,259,5909,10232,2.10.2020
173,4682,1055,1286,38,895,505,643020,148406,15872,128925,3609,1032,22045229,6587610,181,5849,10023,3.10.2020
174,4580,993,1428,38,899,504,647600,149399,15399,130353,3647,1026,22232446,6649502,147,5206,10193,4.10.2020
175,1839,391,917,32,905,507,649439,149790,14841,131270,3679,1084,22407901,6703312,217,5093,9748,5.10.2020
176,4334,643,1270,30,925,428,653773,150433,14184,132540,3709,1051,22590136,6756760,296,4821,9363,6.10.2020
177,5438,969,1060,22,908,493,659211,151402,14071,133600,3731,1049,22712823,6795477,136,4702,9368,7.10.2020
178,4932,798,805,32,869,496,664143,152200,14032,134405,3763,1058,22827508,6831606,156,4585,9447,8.10.2020
179,4788,697,970,23,859,493,668931,152897,13736,135375,3786,827,22927437,6865330,133,4423,9313,9.10.2020
180,4231,703,1117,22,772,437,673162,153600,13300,136492,3808,522,23040037,6893152,,4319,8981,10.10.2020
181,4269,630,1010,22,858,453,677431,154230,12898,137502,3830,,,,,4213,8685,11.10.2020
182,1920,351,950,14,856,456,679351,154581,12285,138452,3844,,,,,3783,8465,12.10.2020
183,4090,486,998,27,833,450,683441,155067,11746,139450,3871,,,,,3353,8245,13.10.2020
184,4495,528,1413,28,839,453,687936,155595,10833,140863,3899,,,,,3211,7856,14.10.2020
185,4220,549,825,21,835,450,692156,156144,10536,141688,3920,,,,,3069,7467,15.10.2020
186,3393,489,681,21,838,446,695549,156633,10323,142369,3941,,,,,2971,7352,16.10.2020
187,3509,418,860,23,827,441,699058,157051,9858,143229,3964,,,,,2769,7146,17.10.2020
188,3066,366,698,19,821,438,702124,157417,9507,143927,3983,,,,,2567,6940,18.10.2020
189,1497,214,505,18,799,434,703621,157631,9198,144432,4001,,,,,2391,6807,19.10.2020
190,2809,328,904,21,779,425,706430,157959,8601,145336,4022,,,,,2140,6461,20.10.2020
191,3581,428,758,23,750,412,710011,158387,8248,146094,4045,,,,,2041,6207,21.10.2020
192,3518,369,818,21,708,384,713529,158756,7778,146912,4066,,,,,1922,5856,22.10.2020
193,3457,321,730,20,684,364,716986,159077,7349,147642,4086,,,,,1752,5597,23.10.2020
194,2883,329,774,19,685,366,719869,159406,6885,148416,4105,,,,,2503,5400,24.10.2020
195,2516,292,454,17,668,363,722385,159698,6706,148870,4122,,,,,1503,5203,25.10.2020
196,1027,147,410,19,639,356,723412,159845,6424,149280,4141,,,,,1389,4965,26.10.2020
197,2331,241,639,22,620,346,725743,160086,6004,149919,4163,,,,,1276,4728,27.10.2020
198,3035,288,441,17,605,338,728778,160374,5834,150360,4180,,,,,1220,4611,28.10.2020
199,2604,303,463,15,581,332,731382,160677,5659,150823,4195,,,,,1164,4495,29.10.2020
200,2970,284,322,16,584,333,734352,160961,5605,151145,4211,,,,,1141,4464,30.10.2020
201,2526,373,350,16,576,331,736878,161334,5612,151495,4227,,,,,1110,4502,31.10.2020
202,2587,377,240,17,579,335,739465,161711,5732,151735,4244,,,,,1052,4680,1.11.2020
203,1176,133,154,15,546,324,740641,161844,5696,151889,4259,,,,,1007,4689,2.11.2020
204,2327,247,280,16,528,316,742968,162091,5647,152169,4275,,,,,880,4767,3.11.2020
205,3053,328,316,18,494,290,746021,162419,5641,152485,4293,,,,,770,4769,4.11.2020
206,2372,228,356,16,481,275,748393,162647,5497,152841,4309,,,,,770,4750,5.11.2020
207,2019,241,298,12,365,230,750412,162888,5428,153139,4321,,,,,661,4767,6.11.2020
208,2469,169,392,10,399,259,752881,163057,5195,153531,4331,,,,,579,4616,7.11.2020
209,2421,217,259,7,396,260,755302,163274,5146,153790,4338,,,,,483,4593,8.11.2020
210,1192,160,338,10,387,255,756494,163434,4958,154128,4348,,,,,387,4571,9.11.2020
211,2229,185,357,4,378,239,758723,163619,4782,154485,4352,,,,,332,4450,10.11.2020
212,2676,217,380,8,359,233,761399,163836,4611,154865,4360,,,,,311,4300,11.11.2020
213,2549,279,360,8,356,234,763948,164115,4522,155225,4368,,,,,349,4173,12.11.2020
214,2064,226,367,5,354,232,766012,164341,4376,155592,4373,,,,,321,4055,13.11.2020
215,1824,248,326,8,358,231,767836,164589,4381,155918,4381,,,,,449,3932,14.11.2020
216,1111,153,222,4,360,231,768947,164742,4217,156140,4385,,,,,315,3902,15.11.2020
217,1032,137,221,4,370,240,769979,164879,4129,156361,4389,,,,,251,3878,16.11.2020
218,1157,163,110,6,383,253,771136,165042,4176,156471,4395,,,,,250,3926,17.11.2020
219,2743,384,168,6,392,260,773879,165426,4290,156639,4401,,,,,265,4120,18.11.2020
220,3329,411,316,6,385,250,777208,165837,4475,156955,4407,,,,,130,4345,19.11.2020
221,4172,372,209,10,378,240,781380,166209,4628,157164,4417,,,,,283,4345,20.11.2020
222,4396,443,246,4,395,247,785766,166652,4821,157410,4421,,,,,319,4502,21.11.2020
223,4546,330,245,5,390,232,790322,166982,4901,157655,4426,,,,,399,4502,22.11.2020
224,2196,206,181,9,422,255,792518,167188,4917,157836,4435,,,,,415,4391,23.11.2020
225,3053,416,218,5,419,252,795571,167604,5110,158054,4440,,,,,562,4548,24.11.2020
226,4655,426,258,6,409,247,800226,168030,5272,158312,4446,,,,,724,4548,25.11.2020
227,3645,430,382,3,403,248,803871,168460,5317,158694,4449,,,,,338,4979,26.11.2020
228,4777,406,320,2,413,249,808648,168866,5401,159014,4451,,,,,422,4979,27.11.2020
229,4535,528,415,7,400,248,813183,169394,5507,159429,4458,,,,,225,5282,28.11.2020
230,3969,400,360,3,409,245,817152,169794,5544,159789,4461,,,,,224,5320,29.11.2020
231,2149,185,356,3,416,253,819301,169979,5370,160145,4464,,,,,121,5249,30.11.2020
232,2951,371,342,3,408,242,822252,170350,5396,160487,4467,,,,,480,4916,1.12.2020
233,4150,347,345,4,408,246,826402,170697,5394,160832,4471,,,,,281,5113,2.12.2020
234,3465,355,378,7,422,255,829867,171052,5364,161210,4478,,,,,256,5108,3.12.2020
235,3863,366,346,4,429,254,833730,171418,5380,161556,4482,,,,,271,5109,4.12.2020
236,3736,351,423,4,425,250,837466,171769,5304,161979,4486,,,,,226,5078,5.12.2020
237,3496,309,444,7,422,252,840962,172078,5162,162423,4493,,,,,154,5008,6.12.2020
238,1911,202,336,9,414,253,842873,172280,5019,162759,4502,,,,,161,4858,7.12.2020
239,2425,279,220,8,412,247,845298,172559,5070,162979,4510,,,,,219,4851,8.12.2020
240,3708,338,317,4,411,245,849006,172897,5087,163296,4514,,,,,206,4881,9.12.2020
241,3795,258,255,8,413,237,852801,173155,5082,163551,4522,,,,,215,4867,10.12.2020
242,3794,247,228,8,382,220,856595,173402,5093,163779,4530,,,,,226,4867,11.12.2020
243,3771,317,254,6,383,228,860366,173719,5150,164033,4536,,,,,271,4879,12.12.2020
244,4014,294,317,2,387,224,864380,174013,5125,164350,4538,,,,,223,4902,13.12.2020
245,1921,196,257,5,386,224,866301,174209,5059,164607,4543,,,,,157,4902,14.12.2020
246,2278,243,346,6,373,224,868579,174452,4950,164953,4549,,,,,157,4793,15.12.2020
247,3699,302,293,7,374,222,872278,174754,4952,165246,4556,,,,,107,4845,16.12.2020
248,3270,363,268,3,373,226,875548,175117,5044,165514,4559,,,,,199,4845,17.12.2020
249,3658,298,276,5,379,231,879206,175415,5061,165790,4564,,,,,153,4908,18.12.2020
250,2929,328,279,8,388,237,882135,175743,5102,166069,4572,,,,,194,4908,19.12.2020
251,2809,322,228,5,388,235,884944,176065,5191,166297,4577,,,,,179,5012,20.12.2020
252,1862,163,252,4,390,226,886806,176228,5098,166549,4581,,,,,94,5004,21.12.2020
253,2540,234,306,6,391,226,889346,176462,5020,166855,4587,,,,,59,4961,22.12.2020
254,3447,307,451,1,385,225,892793,176769,4875,167306,4588,,,,,59,4816,23.12.2020
255,3109,278,481,4,383,224,895902,177047,4668,167787,4592,,,,,128,4540,24.12.2020
256,3103,311,493,5,387,226,899005,177358,4481,168280,4597,,,,,239,4242,25.12.2020
257,2801,222,412,7,389,229,901806,177580,4284,168692,4604,,,,,289,3995,26.12.2020
258,2883,292,470,9,387,226,904689,177872,4097,169162,4613,,,,,301,3796,27.12.2020
259,2284,148,409,4,333,207,906973,178020,3832,169571,4617,,,,,289,3543,28.12.2020
260,2380,238,480,6,313,169,909353,178258,3584,170051,4623,,,,,328,3256,29.12.2020
261,4023,282,349,3,242,145,913376,178540,3514,170400,4626,,,,,347,3167,30.12.2020
262,3819,229,421,5,246,152,917195,178769,3317,170821,4631,,,,,260,3057,31.12.2020
263,4140,302,324,1,250,160,921335,179071,3294,171145,4632,,,,,452,2842,1.1.2021
264,3844,237,477,8,257,165,925179,179308,3046,171622,4640,,,,,489,2557,2.1.2021
265,4082,290,420,7,250,155,929261,179598,2909,172042,4647,,,,,536,2372,3.1.2021
266,2901,135,202,5,202,,932162,179733,2837,172244,4652,,,,,661,2176,4.1.2021
267,3398,233,343,2,222,,935560,179966,2725,172587,4654,,,,,746,1979,5.1.2021
268,5414,321,353,6,230,,940974,180287,2687,172940,4660,,,,,942,1745,6.1.2021
269,5043,202,393,3,202,,946017,180674,2678,173333,4663,,,,,917,1761,7.1.2021
270,4555,291,249,5,196,,950572,180965,2715,173582,4668,,,,,930,1785,8.1.2021
271,4480,282,347,4,210,,955052,181247,2646,173929,4672,,,,,909,1737,9.1.2021
272,3954,264,214,7,208,,959006,181511,2689,174143,4679,,,,,921,1768,10.1.2021
273,2543,140,144,3,213,,961549,181651,2682,174287,4853,,,,,1036,1646,11.1.2021
274,2660,224,241,4,216,,964209,181875,2661,174528,4686,,,,,857,1804,12.1.2021
275,3907,314,246,4,212,,968116,182189,2725,174774,4690,,,,,1032,1693,13.1.2021
276,3591,259,380,3,208,,971707,182448,2601,175154,4693,,,,,1064,1537,14.1.2021
277,3161,261,240,3,206,,974868,182709,2619,175394,4696,,,,,1036,1550,15.1.2021
278,3049,192,234,4,201,,977917,182901,2573,175628,4700,,,,,1009,1564,16.1.2021
279,3205,273,345,3,206,,981122,183174,2498,175973,4703,,,,,2498,1508,17.1.2021
280,2042,121,151,6,206,,983164,183295,2462,176124,4709,,,,,1009,1453,18.1.2021
281,2340,182,335,5,203,,985504,183477,2304,176459,4714,,,,,1009,1295,19.1.2021
282,3852,310,353,6,206,,989356,183787,2255,176812,4720,,,,,1009,1246,20.1.2021
283,3487,227,304,5,205,,992843,184014,2173,177116,4725,,,,,1009,1246,21.1.2021
